App,Package,Start Time,Duration,Filename
"System",,"Sep 7, 2016 @ 03:11:59 AM","1 min 1 sec","Trepn_2016.09.07_031158.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
19,1,16,0,18,195651,19,214000,20,0,0,1036800,6,1036800,12,1036800,17,1248000,5,14,11,12,16,12,18,11,
66,1,103,0,105,1490246,105,214000,106,0,99,1593600,100,1593600,102,1555200,104,1555200,100,55,102,37,103,57,105,55,
105,1,204,0,206,978742,206,214000,206,0,199,1593600,201,1593600,202,1555200,204,1555200,201,36,202,0,204,45,206,54,
206,1,305,0,306,74695,306,214000,307,0,300,1593600,302,1593600,303,1555200,305,1555200,301,0,303,10,304,0,306,0,
306,1,405,0,406,421854,406,214000,407,0,401,1593600,402,1593600,404,1555200,405,1555200,402,10,403,10,404,11,406,27,
406,1,508,0,509,883151,509,214000,509,0,503,1593600,505,1593600,506,1555200,508,1555200,505,30,506,22,507,36,509,33,
509,1,608,0,609,356724,609,214000,610,0,604,1593600,605,1593600,606,1555200,608,1555200,605,9,606,9,607,20,609,11,
609,1,708,0,709,193592,710,214000,710,0,704,1593600,706,1593600,707,1555200,708,1555200,705,0,706,0,708,27,709,0,
709,1,826,0,832,37673,833,214000,835,0,806,307200,814,307200,820,307200,827,307200,812,0,819,16,824,27,831,15,
832,1,926,0,933,66253,934,214000,935,0,907,307200,914,307200,920,307200,927,307200,913,37,919,0,925,45,932,20,
933,1,1016,0,1020,657743,1021,214000,1022,0,1007,960000,1010,960000,1013,729600,1017,729600,1010,62,1013,66,1016,66,1020,44,
1020,1,1121,0,1123,416643,1124,214000,1124,0,1109,307200,1115,307200,1119,1248000,1121,1248000,1114,50,1118,54,1121,40,1123,30,
1123,1,1227,0,1232,53912,1234,214000,1235,0,1210,307200,1216,307200,1222,307200,1228,307200,1215,33,1221,30,1226,0,1232,20,
1233,1,1329,0,1335,66253,1336,214000,1338,0,1311,307200,1318,307200,1323,307200,1330,307200,1316,50,1322,12,1328,18,1334,22,
1335,1,1435,0,1441,51313,1442,214000,1443,0,1412,307200,1420,307200,1426,307200,1438,307200,1419,12,1425,40,1434,9,1441,18,
1441,1,1535,0,1542,75996,1542,214000,1543,0,1513,307200,1521,307200,1528,307200,1538,307200,1520,55,1527,30,1534,22,1541,10,
1542,1,1635,0,1640,67552,1640,214000,1641,0,1614,307200,1621,307200,1628,307200,1637,307200,1619,50,1627,45,1634,0,1640,9,
1640,1,1737,0,1742,87038,1742,214000,1744,0,1715,307200,1723,307200,1730,307200,1738,307200,1721,54,1728,60,1735,0,1741,20,
1742,1,1831,0,1835,305831,1835,214000,1837,0,1815,844800,1820,844800,1826,307200,1832,307200,1818,37,1825,63,1831,45,1835,11,
1835,1,1933,0,1939,255096,1939,214000,1940,0,1916,307200,1923,960000,1928,307200,1935,307200,1921,60,1927,50,1932,50,1938,30,
1939,1,2037,0,2040,116917,2040,214000,2041,0,2019,307200,2026,307200,2031,307200,2038,307200,2024,45,2030,40,2036,55,2039,40,
2040,1,2142,0,2148,63655,2149,214000,2151,0,2121,307200,2128,307200,2135,307200,2143,307200,2126,25,2134,54,2140,9,2147,10,
2148,1,2243,0,2249,84440,2251,214000,2252,0,2222,307200,2229,307200,2236,307200,2244,307200,2228,50,2235,40,2242,20,2249,20,
2250,1,2340,0,2346,71449,2348,214000,2349,0,2323,307200,2330,307200,2335,307200,2341,307200,2328,30,2334,25,2339,33,2346,22,
2347,1,2440,0,2446,265726,2448,214000,2449,0,2424,960000,2430,960000,2435,307200,2441,307200,2428,42,2434,33,2439,30,2446,0,
2446,1,2542,0,2548,70800,2549,214000,2551,0,2524,307200,2531,307200,2536,307200,2543,307200,2529,40,2535,33,2540,36,2547,0,
2548,1,2648,0,2656,77945,2658,214000,2659,0,2626,307200,2633,307200,2640,307200,2649,307200,2631,37,2639,45,2646,11,2655,27,
2657,1,2750,0,2758,66902,2759,214000,2761,0,2727,307200,2734,307200,2743,307200,2752,307200,2733,33,2740,60,2749,0,2758,10,
2758,1,2838,0,2842,302054,2843,214000,2845,0,2827,960000,2831,960000,2834,307200,2839,307200,2830,37,2833,55,2837,0,2842,0,
2843,1,2945,0,2951,80543,2952,214000,2953,0,2929,307200,2935,307200,2940,307200,2946,307200,2934,45,2939,40,2944,30,2950,9,
2951,1,3047,0,3053,66902,3054,214000,3056,0,3030,307200,3037,307200,3042,307200,3049,307200,3035,14,3041,45,3046,44,3053,0,
3054,1,3150,0,3155,61706,3157,214000,3158,0,3132,307200,3139,307200,3144,307200,3151,307200,3138,25,3143,30,3149,40,3155,0,
3156,1,3256,0,3262,57159,3262,214000,3264,0,3233,307200,3241,307200,3250,307200,3258,307200,3239,40,3248,12,3254,36,3261,0,
3262,1,3346,0,3350,339326,3350,214000,3351,0,3333,960000,3337,960000,3342,307200,3347,307200,3336,55,3341,44,3345,22,3349,0,
3350,1,3453,0,3458,51313,3459,214000,3460,0,3435,307200,3441,307200,3447,307200,3454,307200,3440,30,3446,20,3452,20,3458,9,
3459,1,3555,0,3559,63655,3560,214000,3560,0,3536,307200,3544,307200,3550,307200,3556,307200,3543,40,3548,22,3554,36,3559,0,
3559,1,3658,0,3661,106380,3662,214000,3662,0,3638,307200,3645,307200,3653,307200,3659,1248000,3643,27,3652,20,3658,40,3661,10,
3661,1,3757,0,3760,89637,3760,214000,3761,0,3739,307200,3746,307200,3752,307200,3758,307200,3745,40,3750,27,3756,27,3760,44,
3760,1,3861,0,3868,61057,3869,214000,3871,0,3841,307200,3848,307200,3855,307200,3862,307200,3846,40,3853,25,3860,9,3867,20,
3868,1,3963,0,3969,69501,3971,214000,3973,0,3942,307200,3950,307200,3957,307200,3964,307200,3948,54,3955,33,3962,0,3969,20,
3970,1,4065,0,4073,63005,4075,214000,4077,0,4044,307200,4051,307200,4058,307200,4066,307200,4049,22,4057,55,4064,0,4072,20,
4073,1,4162,0,4166,84440,4167,214000,4168,0,4145,307200,4153,307200,4159,307200,4163,307200,4151,58,4158,62,4161,10,4166,0,
4166,1,4263,0,4269,68851,4270,214000,4272,10,4246,307200,4252,307200,4258,307200,4264,307200,4251,22,4257,54,4262,20,4269,10,
4269,1,4366,0,4372,211963,4373,214000,4375,0,4349,307200,4355,307200,4361,307200,4367,307200,4353,33,4360,54,4365,20,4371,20,
4372,1,4467,0,4473,29229,4474,214000,4476,0,4450,307200,4456,307200,4462,307200,4468,307200,4455,12,4461,11,4466,0,4472,22,
4473,1,4568,0,4574,69501,4575,214000,4577,0,4551,307200,4558,307200,4563,307200,4569,307200,4556,25,4562,33,4567,27,4574,22,
4574,1,4675,0,4681,60407,4682,214000,4684,0,4652,307200,4661,307200,4668,307200,4676,307200,4659,25,4666,40,4673,10,4680,18,
4681,1,4770,0,4775,74697,4776,214000,4778,0,4753,307200,4759,307200,4764,307200,4770,307200,4758,45,4763,37,4769,33,4775,0,
4775,1,4869,0,4875,103926,4876,214000,4878,0,4855,307200,4860,307200,4864,307200,4870,307200,4859,54,4863,50,4868,36,4875,20,
4875,1,4979,0,4983,69579,4984,214000,4985,0,4956,422400,4964,307200,4972,307200,4980,307200,4962,25,4971,50,4978,10,4983,9,
4983,1,5074,0,5079,72099,5079,214000,5080,0,5058,307200,5064,307200,5069,307200,5075,307200,5063,37,5068,30,5073,44,5079,0,
5079,1,5177,0,5180,79893,5180,214000,5181,0,5159,307200,5165,307200,5172,307200,5178,1248000,5164,40,5171,33,5176,50,5180,0,
5180,1,5270,0,5274,331630,5274,214000,5275,0,5259,1036800,5263,1036800,5265,307200,5271,307200,5262,42,5265,44,5270,20,5273,0,
5274,1,5381,0,5385,48715,5386,214000,5387,0,5361,307200,5368,307200,5375,307200,5382,1248000,5366,12,5374,27,5381,36,5385,0,
5385,1,5481,0,5485,66902,5486,214000,5487,0,5462,307200,5470,307200,5478,307200,5482,307200,5469,33,5476,40,5481,10,5485,20,
5485,1,5579,0,5584,1274936,5585,214000,5587,0,5563,307200,5568,307200,5574,2150400,5580,2150400,5567,50,5572,50,5578,77,5584,20,
5584,1,5681,0,5685,382175,5686,214000,5687,0,5664,307200,5670,307200,5677,1036800,5682,1248000,5669,45,5676,30,5681,90,5685,0,
5685,1,5776,0,5783,844776,5784,214000,5786,0,5764,422400,5768,422400,5772,1555200,5777,1555200,5768,57,5771,72,5776,60,5782,40,
5732,1,5873,0,5876,823808,5876,214000,5877,0,5865,960000,5867,960000,5870,1555200,5873,1555200,5867,0,5870,50,5872,80,5875,12,
5783,1,5987,0,5993,116397,5995,214000,5997,0,5966,307200,5973,307200,5980,1248000,5988,1248000,5972,11,5979,30,5986,9,5993,9,
5876,1,6089,0,6095,71449,6096,214000,6098,0,6067,307200,6074,307200,6082,307200,6090,307200,6073,33,6081,50,6088,9,6095,18,
5994,1,6192,0,6199,60407,6200,214000,6201,0,6169,307200,6176,307200,6183,307200,6194,307200,6174,33,6182,50,6190,10,6199,0,
6095,1,6295,0,6301,54561,6302,214000,6304,0,6270,307200,6278,307200,6285,307200,6297,307200,6275,40,6283,33,6293,0,6300,11,
6199,1,6388,0,6396,81842,6398,214000,6402,0,6371,307200,6378,307200,6383,307200,6389,307200,6376,55,6382,37,6386,12,6392,22,
6301,1,6492,0,6498,102849,6499,214000,6500,0,6472,307200,6480,422400,6486,307200,6493,307200,6478,33,6484,54,6491,33,6497,10,
6397,1,6595,0,6599,105875,6600,214000,6601,0,6573,307200,6582,307200,6589,307200,6596,307200,6580,50,6588,41,6593,20,6599,52,
6498,1,6699,0,6703,81192,6704,214000,6705,0,6675,307200,6684,307200,6692,307200,6700,307200,6681,58,6690,30,6698,10,6703,27,
6599,1,6791,0,6796,78594,6798,214000,6799,0,6775,307200,6780,307200,6785,307200,6792,307200,6779,44,6785,14,6790,30,6796,33,
6704,1,6893,0,6898,199672,6899,214000,6900,0,6877,307200,6883,960000,6888,307200,6894,307200,6882,58,6887,44,6892,27,6898,0,
6797,1,7002,0,7009,63506,7011,214000,7012,0,6979,307200,6986,307200,6994,307200,7003,403200,6985,22,6993,30,7000,20,7007,18,
6899,1,7097,0,7102,89796,7103,214000,7105,0,7081,307200,7087,307200,7092,307200,7098,403200,7086,50,7091,30,7096,11,7102,33,
7009,1,7191,0,7195,229540,7196,214000,7197,0,7181,960000,7184,960000,7187,307200,7192,307200,7183,25,7186,37,7190,30,7194,10,
7103,1,7302,0,7308,60407,7310,214000,7312,0,7282,307200,7289,307200,7296,307200,7303,307200,7287,25,7295,41,7301,18,7308,9,
7195,1,7403,0,7409,66902,7410,214000,7412,0,7383,307200,7390,307200,7396,307200,7404,307200,7388,22,7395,50,7401,20,7409,11,
7308,1,7505,0,7512,75347,7514,214000,7516,0,7483,307200,7490,307200,7497,307200,7506,307200,7489,63,7495,33,7503,0,7511,20,
7409,1,7605,0,7611,97431,7612,214000,7614,0,7584,307200,7591,307200,7599,307200,7606,307200,7590,66,7597,33,7604,40,7610,11,
7513,1,7703,0,7709,47416,7713,214000,7715,0,7686,307200,7691,307200,7697,307200,7704,307200,7690,37,7696,14,7702,0,7708,22,
