App,Package,Start Time,Duration,Filename
"System",,"Sep 7, 2016 @ 03:14:05 AM","45 sec","Parallel.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
14,1,9,0,13,1369253,15,624000,16,0,0,844800,3,652800,6,2150400,10,2150400,2,45,5,48,8,32,13,61,
31,1,111,0,117,1559785,118,624000,118,0,99,556800,103,556800,106,1920000,112,2150400,102,62,105,62,110,81,117,44,
117,1,216,0,221,123565,222,624000,224,0,200,422400,205,422400,211,307200,217,307200,204,54,210,36,215,33,221,20,
221,1,317,0,323,110422,324,624000,325,0,302,307200,307,307200,312,307200,318,307200,306,50,311,33,316,54,322,33,
323,1,414,0,417,144292,418,624000,419,30,403,307200,406,844800,411,403200,414,403200,405,55,410,22,413,33,417,20,
417,1,519,0,524,3205545,525,624000,529,30,504,307200,510,307200,515,2150400,519,556800,508,33,514,40,518,63,524,54,
524,1,621,0,626,2454170,628,624000,630,30,604,480000,610,422400,616,307200,622,307200,609,44,615,44,620,50,626,50,
627,1,724,0,730,2496209,732,624000,734,30,705,307200,712,307200,718,556800,725,556800,711,50,717,40,723,63,730,36,
731,1,826,0,833,2373574,834,624000,837,30,806,307200,813,307200,820,307200,827,307200,812,40,818,30,825,20,832,33,
833,1,920,0,925,2624647,927,624000,928,30,906,652800,912,652800,917,307200,921,806400,911,55,916,77,919,33,925,27,
926,1,1027,0,1032,2438905,1034,624000,1035,30,1008,307200,1014,307200,1021,556800,1028,307200,1013,44,1020,45,1026,44,1032,36,
1033,1,1112,0,1113,3299384,1113,624000,1113,30,1108,307200,1110,307200,1111,2150400,1112,2150400,1109,58,1110,50,1112,25,1113,50,
1113,1,1214,0,1216,3004328,1216,624000,1216,30,1209,844800,1211,844800,1213,1248000,1214,1248000,1210,50,1212,12,1214,40,1216,69,
