App,Package,Start Time,Duration,Filename
"System",,"Sep 7, 2016 @ 03:13:52 AM","12 sec","Sequential.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
8,1,6,0,8,2807633,8,214000,9,13,0,1593600,2,1593600,4,2150400,6,2150400,1,15,3,87,5,84,7,80,
29,1,160,0,162,2931697,163,133000,163,13,150,1324800,152,1036800,157,2150400,160,2150400,152,56,156,50,159,82,162,100,
162,1,217,0,224,1728811,225,133000,225,13,201,307200,206,307200,211,2150400,218,2150400,205,50,210,25,216,57,224,71,
224,1,305,0,307,2512647,307,133000,307,13,301,960000,302,960000,304,2150400,305,2150400,302,77,303,55,305,60,306,100,
307,1,406,0,408,1603037,408,214000,408,13,401,307200,403,307200,405,2150400,406,2150400,403,25,404,10,406,20,407,100,
408,1,507,0,508,1659736,509,214000,509,0,502,307200,504,307200,505,2150400,507,2150400,504,20,505,10,506,18,508,100,
508,1,607,0,609,1385135,609,214000,609,0,603,307200,605,307200,606,2150400,608,2150400,605,20,606,0,607,10,609,100,
609,1,710,0,711,1392929,711,214000,712,0,705,307200,707,307200,708,2150400,710,2150400,707,22,708,10,709,10,711,100,
711,1,810,0,812,1247404,812,214000,812,0,806,307200,808,307200,809,2150400,810,2150400,807,0,809,0,810,0,811,100,
812,1,925,0,931,1540404,932,214000,934,0,908,307200,914,307200,920,2150400,926,2150400,913,22,919,45,924,20,931,100,
931,1,1017,0,1018,1429569,1018,214000,1019,0,1009,307200,1014,307200,1015,2150400,1017,2150400,1014,30,1015,20,1016,12,1018,100,
1018,1,1116,0,1117,1498568,1117,214000,1118,0,1111,307200,1113,307200,1114,2150400,1116,2150400,1113,30,1114,11,1115,18,1117,100,
1117,1,1217,0,1218,1405271,1218,214000,1219,0,1212,307200,1214,307200,1215,2150400,1217,2150400,1214,41,1215,10,1216,10,1218,100,
1218,1,1318,0,1319,1261693,1319,214000,1319,0,1313,307200,1315,307200,1316,2150400,1318,2150400,1315,10,1316,12,1317,0,1319,100,
1319,1,1420,0,1421,1662546,1421,214000,1422,0,1415,307200,1417,307200,1418,2150400,1420,2150400,1417,30,1418,33,1419,30,1421,100,
1421,1,1520,0,1522,1418394,1522,214000,1522,0,1516,307200,1518,307200,1519,2150400,1521,2150400,1517,22,1519,30,1520,11,1521,100,
1522,1,1631,0,1633,2094728,1634,214000,1634,0,1624,1113600,1626,1113600,1629,2150400,1631,2150400,1626,33,1628,90,1630,27,1633,100,
1634,1,1729,0,1730,1982756,1730,214000,1731,0,1724,960000,1726,960000,1728,2150400,1729,2150400,1726,60,1727,12,1728,40,1730,100,
1730,1,1830,0,1831,1268189,1831,214000,1831,0,1826,307200,1827,307200,1828,2150400,1830,2150400,1827,22,1828,10,1829,0,1831,100,
1831,1,1931,0,1932,1541703,1933,214000,1933,0,1926,307200,1928,307200,1930,2150400,1931,2150400,1928,36,1930,33,1931,20,1932,100,
1933,1,2032,0,2033,1403972,2034,214000,2034,0,2027,307200,2029,307200,2030,2150400,2032,2150400,2029,22,2030,27,2031,10,2033,100,
2033,1,2134,0,2136,1646601,2136,214000,2137,0,2129,422400,2131,422400,2132,2150400,2134,2150400,2131,30,2132,33,2133,27,2136,100,
2136,1,2235,0,2236,1390981,2237,214000,2237,0,2230,307200,2232,307200,2234,2150400,2235,2150400,2232,11,2233,18,2235,10,2236,100,
2236,1,2337,0,2339,1379156,2339,214000,2340,0,2331,307200,2333,307200,2335,2150400,2337,2150400,2333,30,2334,0,2336,9,2338,100,
2339,1,2437,0,2439,1396177,2439,214000,2439,0,2432,307200,2434,307200,2435,2150400,2437,2150400,2434,10,2435,27,2436,10,2438,100,
2439,1,2537,0,2538,1636166,2538,214000,2539,0,2533,307200,2535,307200,2536,2150400,2537,2150400,2534,40,2536,40,2537,27,2538,100,
2538,1,2639,0,2640,1404754,2640,214000,2641,0,2634,307200,2636,307200,2638,2150400,2639,2150400,2636,11,2637,20,2638,11,2640,100,
2640,1,2740,0,2741,1495320,2741,214000,2742,0,2735,307200,2737,307200,2738,2150400,2740,2150400,2737,36,2738,0,2739,18,2741,100,
2741,1,2841,0,2842,1254549,2842,214000,2843,0,2836,307200,2838,307200,2839,2150400,2841,2150400,2838,11,2839,0,2840,0,2842,100,
2842,1,2954,0,2959,1377208,2960,214000,2961,0,2938,307200,2944,307200,2949,2150400,2955,2150400,2942,27,2948,0,2953,9,2959,100,
2959,1,3055,0,3061,1431385,3063,214000,3065,0,3039,307200,3045,307200,3050,2150400,3057,2150400,3044,60,3049,12,3054,11,3061,100,
3061,1,3149,0,3151,1415014,3151,214000,3151,0,3140,307200,3146,307200,3148,2150400,3149,2150400,3145,30,3147,36,3149,10,3150,100,
3151,1,3245,0,3246,1387733,3247,214000,3247,0,3240,307200,3242,307200,3243,2150400,3245,2150400,3241,12,3243,12,3245,20,3246,90,
3246,1,3346,0,3347,1567300,3347,214000,3348,0,3341,307200,3343,307200,3344,2150400,3346,2150400,3342,30,3344,40,3345,22,3347,100,
3347,1,3447,0,3448,1496619,3448,214000,3448,0,3443,307200,3444,307200,3445,2150400,3447,2150400,3444,27,3445,11,3446,18,3448,100,
3448,1,3554,0,3557,1798337,3557,214000,3558,0,3544,556800,3548,556800,3551,2150400,3555,2150400,3547,50,3551,20,3554,36,3557,100,
3557,1,3661,0,3665,538972,3665,214000,3666,0,3645,307200,3651,307200,3656,2150400,3662,1248000,3649,22,3655,40,3660,0,3664,100,
3665,1,3749,0,3750,1266890,3750,214000,3751,0,3745,307200,3747,307200,3748,2150400,3749,2150400,3746,30,3747,0,3749,100,3750,0,
3750,1,3851,0,3853,1404104,3853,214000,3853,0,3846,307200,3848,307200,3850,2150400,3851,2150400,3848,12,3849,18,3851,100,3852,11,
3853,1,3952,0,3953,1502730,3953,214000,3953,0,3948,307200,3949,307200,3951,2150400,3952,2150400,3949,9,3950,0,3951,100,3952,20,
3953,1,4054,0,4055,1577442,4056,214000,4056,0,4049,307200,4051,307200,4052,2150400,4054,2150400,4051,18,4052,10,4053,100,4055,25,
4055,1,4170,0,4175,1402672,4175,214000,4176,0,4152,307200,4158,307200,4165,2150400,4171,2150400,4157,20,4163,27,4169,100,4174,10,
4175,1,4270,0,4275,1396827,4275,214000,4276,0,4253,307200,4259,307200,4265,2150400,4271,2150400,4258,27,4264,11,4269,100,4274,10,
4275,1,4373,0,4377,1272086,4378,214000,4379,0,4354,307200,4361,307200,4368,2150400,4374,2150400,4360,18,4366,20,4372,100,4376,0,
4377,1,4472,0,4476,1530661,4476,214000,4477,0,4455,307200,4461,307200,4467,2150400,4473,2150400,4460,22,4466,30,4471,100,4475,20,
4476,1,4572,0,4576,1391630,4576,214000,4577,0,4556,307200,4562,307200,4567,2150400,4573,2150400,4560,20,4566,10,4571,100,4575,10,
4576,1,4661,0,4663,1538071,4663,214000,4663,0,4657,307200,4658,307200,4660,2150400,4661,2150400,4658,25,4659,0,4661,100,4662,22,
4663,1,4775,0,4779,1717506,4780,214000,4782,0,4758,307200,4764,307200,4769,2150400,4775,2150400,4763,50,4768,40,4773,100,4779,33,
4779,1,4867,0,4870,2311012,4870,214000,4871,0,4859,960000,4861,960000,4864,2150400,4867,2150400,4861,33,4864,25,4866,90,4869,80,
4870,1,4966,0,4968,2697981,4969,214000,4970,0,4959,1593600,4962,1593600,4964,2150400,4967,2150400,4961,50,4963,44,4966,100,4968,60,
4939,1,5077,0,5081,1502465,5083,214000,5084,0,5061,307200,5067,307200,5072,2150400,5078,2150400,5066,20,5071,27,5076,100,5081,18,
4969,1,5182,0,5190,1507012,5192,214000,5193,0,5162,307200,5169,307200,5175,2150400,5185,2150400,5167,36,5174,18,5180,100,5190,18,
5082,1,5268,0,5270,1424890,5270,214000,5270,0,5263,307200,5265,307200,5266,2150400,5268,2150400,5265,40,5266,22,5267,100,5270,11,
5191,1,5368,0,5370,1399425,5370,214000,5370,0,5363,307200,5365,307200,5367,2150400,5368,2150400,5365,22,5366,20,5368,100,5369,10,
5270,1,5469,0,5471,1276633,5472,214000,5472,0,5464,307200,5466,307200,5468,2150400,5470,2150400,5466,27,5467,18,5469,100,5471,0,
5370,1,5570,0,5572,1261693,5572,214000,5572,0,5565,307200,5567,307200,5569,2150400,5570,2150400,5567,22,5568,0,5570,100,5571,0,
5471,1,5671,0,5672,1437808,5672,214000,5673,0,5666,960000,5668,960000,5669,2150400,5671,2150400,5667,20,5669,0,5670,100,5672,10,
5572,1,5771,0,5773,1516371,5773,214000,5774,0,5767,307200,5769,307200,5770,2150400,5771,2150400,5768,20,5770,10,5771,100,5772,20,
5672,1,5872,0,5874,2443347,5874,214000,5874,0,5868,1593600,5869,1593600,5871,2150400,5872,2150400,5869,60,5870,45,5872,100,5873,33,
5773,1,5973,0,5974,2405850,5975,214000,5975,0,5968,1593600,5970,1593600,5971,2150400,5973,2150400,5970,66,5971,44,5972,77,5974,50,
5874,1,6075,0,6076,1404621,6076,214000,6077,0,6069,307200,6072,307200,6073,2150400,6075,2150400,6071,0,6073,50,6074,100,6076,10,
5974,1,6175,0,6176,1600958,6177,214000,6177,0,6170,307200,6172,307200,6174,2150400,6175,2150400,6172,27,6173,18,6175,90,6176,36,
6076,1,6277,0,6279,1619342,6279,214000,6279,0,6271,1593600,6274,652800,6275,2150400,6277,2150400,6273,11,6275,22,6276,100,6278,20,
6177,1,6377,0,6378,1391113,6379,214000,6379,0,6372,307200,6374,307200,6375,2150400,6377,2150400,6373,10,6375,0,6376,100,6378,11,
6279,1,6483,0,6485,1540152,6485,214000,6486,0,6473,307200,6480,307200,6482,2150400,6484,2150400,6480,0,6482,9,6483,100,6485,23,
6378,1,6579,0,6581,1247404,6581,214000,6581,0,6574,307200,6576,307200,6578,2150400,6579,2150400,6576,0,6577,0,6579,100,6580,0,
6485,1,6681,0,6682,1287026,6682,214000,6683,0,6675,307200,6677,307200,6679,2150400,6681,2150400,6677,50,6679,11,6680,100,6682,0,
6581,1,6782,0,6790,1727647,6791,214000,6793,0,6777,307200,6778,307200,6780,2150400,6785,2150400,6778,37,6780,11,6781,100,6789,36,
6682,1,6882,0,6884,1296769,6884,214000,6885,0,6877,307200,6879,307200,6880,2150400,6882,2150400,6879,40,6880,36,6881,0,6883,100,
6790,1,6984,0,6985,1497918,6986,214000,6986,0,6979,307200,6981,307200,6982,2150400,6984,2150400,6980,20,6982,20,6983,18,6985,100,
6884,1,7085,0,7086,1819549,7087,214000,7087,0,7080,1228800,7082,1228800,7084,2150400,7085,2150400,7082,22,7083,70,7085,10,7086,100,
6986,1,7186,0,7187,2073891,7187,214000,7188,0,7181,1190400,7183,1190400,7184,2150400,7186,2150400,7182,66,7184,40,7185,27,7187,100,
7086,1,7302,0,7309,1400591,7310,214000,7312,0,7283,307200,7291,307200,7297,2150400,7303,2150400,7290,33,7296,30,7301,9,7308,100,
7187,1,7389,0,7392,2809754,7392,214000,7393,0,7383,1190400,7385,1593600,7387,2150400,7390,2150400,7384,63,7386,70,7389,60,7392,100,
7309,1,7502,0,7507,1386951,7509,214000,7510,0,7485,307200,7490,307200,7496,2150400,7503,2150400,7489,22,7495,20,7500,9,7507,100,
7392,1,7614,0,7617,1277932,7618,214000,7618,0,7585,307200,7591,307200,7609,2150400,7615,2150400,7590,20,7596,27,7613,0,7617,100,
7508,1,7692,0,7696,2255240,7696,214000,7697,0,7686,960000,7688,960000,7690,2150400,7693,2150400,7687,55,7690,62,7692,50,7695,100,
7617,1,7791,0,7792,1273385,7792,214000,7793,0,7786,307200,7788,307200,7789,2150400,7791,2150400,7788,30,7789,10,7790,0,7792,100,
7696,1,7891,0,7893,2144640,7893,214000,7894,0,7887,1593600,7889,1593600,7890,2150400,7892,2150400,7888,30,7890,30,7891,36,7893,100,
7792,1,7992,0,7994,1541319,7994,214000,7995,0,7988,307200,7990,307200,7991,2150400,7993,2150400,7989,30,7991,0,7992,22,7994,100,
7893,1,8093,0,8095,1391630,8095,214000,8096,0,8089,307200,8091,307200,8092,2150400,8094,2150400,8090,20,8092,10,8093,10,8095,100,
7994,1,8195,0,8197,1578741,8197,214000,8198,0,8190,307200,8192,307200,8193,2150400,8195,2150400,8191,30,8193,0,8194,25,8197,100,
8095,1,8295,0,8297,1386434,8297,214000,8298,0,8291,307200,8292,307200,8294,2150400,8296,2150400,8292,12,8293,10,8295,10,8297,100,
8197,1,8396,0,8397,2111554,8397,214000,8398,0,8392,729600,8393,960000,8395,2150400,8396,2150400,8393,70,8394,50,8396,44,8397,100,
8297,1,8498,0,8499,2304488,8500,214000,8500,0,8492,960000,8495,960000,8497,2150400,8498,2150400,8495,77,8496,55,8498,50,8499,100,
8397,1,8599,0,8600,1438013,8600,214000,8601,0,8594,307200,8596,307200,8597,2150400,8599,2150400,8595,33,8597,30,8598,12,8600,100,
8499,1,8699,0,8700,1396177,8701,214000,8701,0,8695,307200,8696,307200,8698,2150400,8699,2150400,8696,27,8698,10,8699,10,8700,100,
8600,1,8804,0,8805,1379289,8806,214000,8806,0,8796,307200,8801,307200,8802,2150400,8804,2150400,8797,0,8802,11,8804,10,8805,100,
8700,1,8901,0,8903,1268189,8903,214000,8904,0,8896,307200,8898,307200,8900,2150400,8901,2150400,8898,18,8899,14,8901,0,8903,100,
8805,1,9002,0,9004,1624474,9004,214000,9005,0,8997,307200,8999,307200,9001,2150400,9002,2150400,8999,40,9000,22,9002,27,9004,100,
8903,1,9103,0,9105,1525464,9105,214000,9105,0,9099,307200,9100,307200,9102,2150400,9103,2150400,9100,22,9101,22,9103,30,9104,90,
9004,1,9204,0,9206,1624950,9206,214000,9207,0,9199,960000,9201,960000,9203,2150400,9205,2150400,9201,50,9202,27,9204,100,9206,10,
9105,1,9305,0,9306,1359670,9307,214000,9307,0,9300,307200,9302,307200,9304,2150400,9305,2150400,9302,0,9303,0,9305,100,9306,9,
9206,1,9406,0,9408,1403322,9408,214000,9409,0,9401,307200,9403,307200,9404,2150400,9406,2150400,9403,30,9404,18,9406,100,9408,10,
9307,1,9508,0,9510,1534823,9510,214000,9511,0,9502,307200,9504,307200,9506,2150400,9508,2150400,9504,10,9505,10,9507,100,9509,22,
9408,1,9608,0,9609,1403455,9610,214000,9610,0,9603,307200,9604,307200,9606,2150400,9608,2150400,9604,18,9606,11,9607,100,9609,11,
9510,1,9709,0,9711,1408002,9711,214000,9712,0,9704,307200,9706,307200,9708,2150400,9709,2150400,9706,11,9707,25,9709,100,9711,11,
9609,1,9810,0,9812,1253899,9812,214000,9813,0,9805,307200,9807,307200,9808,2150400,9811,2150400,9806,0,9808,10,9810,100,9812,0,
9711,1,9911,0,9912,1497268,9913,214000,9913,0,9906,307200,9908,307200,9909,2150400,9911,2150400,9907,27,9909,12,9910,18,9912,100,
9812,1,10012,0,10013,1533259,10013,214000,10014,0,10007,307200,10009,307200,10010,2150400,10012,2150400,10008,18,10010,38,10011,20,10013,100,
9912,1,10063,0,10064,2294552,10064,214000,10065,0,10057,1593600,10060,1593600,10061,2150400,10063,2150400,10059,25,10061,20,10062,57,10064,100,
