App,Package,Start Time,Duration,Filename
"System",,"Sep 7, 2016 @ 03:18:37 AM","1 min 2 sec","Trepn_2016.09.07_031837.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
11,1,8,0,10,1016821,11,214000,12,0,0,1324800,3,1324800,6,940800,8,940800,3,15,5,82,7,78,10,74,
104,1,108,0,109,2667656,109,214000,110,0,105,1593600,106,1593600,107,2150400,108,2150400,106,80,107,40,108,70,109,72,
109,1,209,0,210,1174446,211,214000,211,0,205,1593600,206,1593600,208,1555200,209,1555200,206,37,208,30,209,44,210,50,
210,1,309,0,311,472044,311,214000,311,0,305,1593600,307,1593600,308,1555200,310,1555200,307,0,308,20,309,0,310,45,
311,1,410,0,411,364493,411,214000,412,0,406,1593600,407,1593600,408,1555200,410,1555200,407,10,408,10,409,20,411,10,
411,1,518,0,521,216716,521,214000,521,0,507,960000,511,960000,515,652800,518,652800,510,27,513,10,517,41,520,11,
521,1,611,0,612,336711,612,214000,613,0,607,1593600,608,1593600,610,1555200,611,1555200,608,11,609,12,610,12,612,11,
612,1,711,0,712,350153,713,214000,713,0,707,1593600,708,1593600,710,1555200,711,1555200,708,10,709,10,711,10,712,18,
712,1,811,0,813,215102,813,214000,813,0,807,1593600,809,1593600,810,1555200,812,1555200,809,0,810,0,811,10,813,20,
813,1,929,0,936,62356,937,214000,939,0,910,307200,917,307200,923,307200,930,307200,916,12,922,27,928,16,935,41,
936,1,1028,0,1034,85090,1035,214000,1037,0,1011,307200,1017,307200,1023,307200,1029,307200,1016,45,1022,30,1027,11,1033,45,
1034,1,1130,0,1137,83791,1138,214000,1139,0,1112,307200,1119,307200,1124,307200,1131,307200,1117,28,1123,40,1129,20,1136,41,
1137,1,1231,0,1235,81192,1236,214000,1237,0,1213,307200,1219,307200,1225,307200,1232,307200,1218,50,1224,30,1230,0,1235,45,
1235,1,1331,0,1338,63655,1340,214000,1341,0,1316,307200,1324,307200,1328,307200,1332,307200,1322,33,1327,45,1330,0,1338,20,
