App,Package,Start Time,Duration,Filename
"System",,"Sep 7, 2016 @ 03:20:15 AM","45 sec","Parallel.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
0,1,25,0,26,2520283,27,624000,27,0,22,1593600,23,1593600,24,2150400,25,2150400,23,64,24,68,25,68,26,55,
26,1,141,0,147,585573,148,624000,148,0,124,307200,130,307200,136,1248000,142,1248000,129,50,135,30,140,61,146,46,
147,1,194,0,202,407044,205,624000,208,0,175,307200,181,307200,187,307200,195,1248000,180,66,186,40,192,60,202,60,
203,1,297,0,304,86389,306,624000,308,0,276,307200,282,307200,291,307200,299,307200,281,45,289,30,296,38,304,20,
305,1,390,0,392,574300,392,624000,392,0,377,307200,383,307200,388,1248000,390,1248000,382,33,388,45,389,80,392,25,
392,1,485,0,488,373637,489,624000,490,0,477,307200,480,307200,483,883200,486,883200,479,50,482,50,485,44,488,63,
488,1,586,0,591,524184,592,624000,594,0,578,729600,581,729600,583,1248000,587,1248000,580,58,583,0,586,50,590,30,
591,1,693,0,701,95908,704,624000,706,35,679,307200,685,307200,689,307200,695,403200,684,14,689,50,692,45,700,27,
702,1,794,0,800,2766897,801,624000,802,35,780,307200,787,307200,791,307200,795,307200,785,40,790,50,793,40,799,10,
800,1,894,0,899,2979112,899,624000,900,35,881,960000,886,307200,890,652800,895,307200,885,50,889,37,893,50,898,36,
899,1,986,0,988,3128301,989,624000,990,35,981,422400,983,422400,984,1248000,986,1248000,982,44,984,25,985,37,988,40,
988,1,1088,0,1090,3336657,1090,624000,1091,35,1082,729600,1084,729600,1086,1248000,1088,1036800,1084,60,1086,37,1088,63,1090,37,
1090,1,1199,0,1201,2851209,1202,624000,1203,35,1183,307200,1189,960000,1195,307200,1199,307200,1188,25,1194,33,1198,69,1201,9,
1202,1,1296,0,1302,2794191,1303,624000,1305,35,1284,307200,1290,844800,1293,403200,1296,403200,1289,22,1292,12,1295,66,1302,11,
1302,1,1405,0,1409,2790930,1410,624000,1411,35,1386,307200,1392,307200,1399,307200,1406,307200,1391,45,1397,33,1404,45,1409,54,
1409,1,1505,0,1510,2779887,1510,624000,1511,35,1487,307200,1493,307200,1499,307200,1506,307200,1491,60,1498,40,1504,30,1509,30,
1510,1,1613,0,1615,3665792,1615,624000,1615,35,1589,307200,1597,422400,1609,2150400,1613,1248000,1596,55,1604,44,1613,61,1614,30,
1615,1,1703,0,1708,2955008,1709,624000,1709,36,1689,960000,1693,307200,1697,307200,1704,307200,1692,66,1696,37,1702,22,1708,37,
1708,1,1803,0,1807,3092258,1808,624000,1808,36,1789,960000,1794,960000,1799,403200,1803,403200,1793,40,1798,40,1802,33,1806,50,
1807,1,1906,0,1909,2836208,1909,624000,1910,36,1890,307200,1896,307200,1901,307200,1907,307200,1894,44,1900,11,1904,54,1909,20,
1909,1,2010,0,2012,2850498,2013,624000,2014,36,1992,307200,1999,307200,2006,307200,2010,307200,1998,57,2004,44,2009,30,2012,20,
2012,1,2104,0,2109,3102242,2109,624000,2110,36,2091,960000,2094,960000,2096,307200,2106,307200,2093,60,2096,42,2099,12,2109,11,
2109,1,2201,0,2203,3631462,2203,624000,2204,36,2193,1324800,2196,1324800,2199,652800,2201,1248000,2196,63,2198,33,2201,72,2203,44,
