App,Package,Start Time,Duration,Filename
"System",,"Sep 7, 2016 @ 03:20:03 AM","12 sec","Sequential.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
5,1,4,0,5,2575706,5,133000,5,10,0,1593600,2,1593600,3,2150400,4,2150400,2,15,3,81,4,77,5,72,
25,1,108,0,111,2578738,111,133000,111,10,102,960000,104,960000,106,2150400,109,2150400,104,60,106,60,108,90,110,80,
111,1,207,0,208,1376453,209,133000,209,10,202,307200,204,729600,206,2150400,207,2150400,204,60,205,12,207,0,208,100,
208,1,307,0,309,1495036,309,214000,309,10,303,307200,305,307200,306,2150400,308,2150400,305,30,306,22,307,12,309,100,
309,1,422,0,427,1503431,428,214000,429,0,405,307200,412,307200,418,2150400,423,2150400,411,22,416,0,422,9,427,100,
427,1,528,0,537,1413065,549,214000,550,0,506,307200,512,307200,518,2150400,530,2150400,511,33,516,30,523,10,536,100,
537,1,611,0,612,1570548,612,214000,612,0,606,307200,608,307200,609,2150400,611,2150400,608,50,609,25,610,22,612,100,
612,1,712,0,713,1812061,713,214000,714,0,707,960000,709,960000,710,2150400,712,2150400,709,33,710,44,711,25,713,100,
713,1,812,0,814,1521567,814,214000,814,0,808,307200,810,307200,811,2150400,813,2150400,810,20,811,18,812,20,814,100,
814,1,914,0,915,1486226,915,214000,916,0,909,307200,911,307200,912,2150400,914,2150400,911,22,912,0,913,18,915,100,
915,1,1015,0,1016,1621646,1016,214000,1017,0,1010,960000,1012,960000,1013,2150400,1015,2150400,1012,27,1013,11,1014,20,1016,100,
1016,1,1115,0,1116,1522866,1117,214000,1117,0,1111,307200,1113,307200,1114,2150400,1115,2150400,1112,22,1113,18,1115,20,1116,100,
1116,1,1216,0,1217,1271437,1217,214000,1218,0,1212,307200,1213,307200,1215,2150400,1216,2150400,1213,27,1214,10,1215,0,1217,100,
1217,1,1317,0,1318,1411899,1319,214000,1319,0,1313,307200,1314,307200,1316,2150400,1317,2150400,1314,30,1315,12,1317,11,1318,100,
1319,1,1419,0,1420,1391763,1421,214000,1421,0,1415,307200,1416,307200,1418,2150400,1419,2150400,1416,11,1417,0,1419,11,1420,100,
1420,1,1520,0,1521,1379289,1521,214000,1522,0,1516,307200,1517,307200,1518,2150400,1520,2150400,1517,11,1518,0,1519,10,1521,100,
1521,1,1622,0,1623,1740903,1623,214000,1624,0,1617,307200,1619,307200,1620,2150400,1622,2150400,1618,30,1620,0,1621,38,1623,100,
1623,1,1722,0,1724,1418695,1724,214000,1724,0,1718,422400,1719,422400,1721,2150400,1723,2150400,1719,27,1720,20,1722,10,1724,100,
1724,1,1823,0,1825,1399425,1825,214000,1825,0,1819,307200,1820,307200,1822,2150400,1823,2150400,1820,12,1821,30,1823,10,1824,100,
1825,1,1924,0,1926,1421642,1926,214000,1926,0,1920,307200,1922,307200,1923,2150400,1924,2150400,1921,27,1923,30,1924,66,1925,45,
1926,1,2025,0,2026,1378639,2026,214000,2027,0,2021,307200,2022,307200,2024,2150400,2025,2150400,2022,10,2023,0,2024,100,2026,10,
2026,1,2125,0,2127,1345900,2127,214000,2127,0,2121,960000,2123,960000,2124,2150400,2126,2150400,2122,0,2124,30,2125,100,2127,0,
2127,1,2240,0,2243,2294175,2243,214000,2244,0,2223,307200,2229,307200,2235,2150400,2241,2150400,2228,11,2233,45,2239,100,2243,81,
2243,1,2329,0,2333,2216083,2333,214000,2334,0,2323,307200,2325,307200,2327,2150400,2330,2150400,2325,40,2327,11,2329,100,2333,75,
2333,1,2428,0,2429,1612517,2429,214000,2430,0,2424,307200,2425,307200,2427,2150400,2428,2150400,2425,37,2426,45,2427,100,2429,25,
2348,1,2530,0,2532,1381754,2532,214000,2532,0,2525,307200,2527,307200,2529,2150400,2530,2150400,2527,12,2528,22,2530,100,2531,9,
2429,1,2630,0,2632,1434140,2632,214000,2632,0,2626,422400,2627,422400,2629,2150400,2630,2150400,2627,30,2628,20,2630,100,2632,11,
2532,1,2731,0,2732,1392280,2733,214000,2733,0,2727,307200,2728,307200,2730,2150400,2731,2150400,2728,11,2729,20,2731,100,2732,10,
2632,1,2832,0,2834,1508311,2834,214000,2834,0,2827,307200,2829,307200,2831,2150400,2832,2150400,2829,20,2830,36,2832,100,2833,18,
2732,1,2933,0,2935,1536283,2935,214000,2935,0,2929,960000,2931,960000,2932,2150400,2934,2150400,2930,0,2932,12,2933,90,2934,30,
2834,1,3035,0,3036,1489474,3036,214000,3037,0,3030,307200,3032,307200,3033,2150400,3035,2150400,3031,27,3033,0,3034,18,3036,100,
