App,Package,Start Time,Duration,Filename,,,,,,,,,,,,,,,,,,,,,
System,,"Sep 7, 2016 @ 02:27:12 AM",1 min 2 sec,Trepn_2016.09.07_022712.db,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Time  [ms],Battery Status,Time  [ms],Screen Brightness,Time  [ms],Battery Power* [uW],Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU1 Load [%],Time  [ms],CPU2 Load [%],Time  [ms],CPU3 Load [%],Time  [ms],CPU4 Load [%]
5,1,4,1,5,683966,5,320000,5,0,0,1958400,2,1958400,3,0,4,0,2,19,3,40,4,0,5,0
22,1,106,1,108,1954383,108,320000,109,0,101,1958400,103,1958400,104,960000,107,960000,103,90,104,70,106,26,108,21
108,1,207,1,209,1419607,209,320000,210,0,202,1958400,204,1958400,206,960000,207,960000,204,45,205,60,207,33,208,60
209,1,307,1,309,2143103,309,320000,309,0,302,1958400,304,1958400,306,1958400,308,960000,304,70,305,50,307,55,309,54
309,1,408,1,409,1129991,410,320000,411,0,403,1958400,405,1958400,406,1958400,408,960000,404,30,406,30,407,30,409,40
409,1,507,1,508,1501868,508,320000,509,0,503,1958400,504,1267200,506,1958400,507,960000,504,36,505,30,506,75,508,40
508,1,607,1,608,992377,608,320000,609,0,603,1958400,605,1267200,606,1958400,607,960000,604,14,606,22,607,54,608,50
608,1,709,1,710,740805,711,320000,711,0,704,1958400,706,1267200,708,1036800,710,0,705,42,707,36,709,37,710,0
710,1,810,1,811,1187020,811,320000,812,0,804,1958400,806,1958400,809,960000,810,0,806,30,808,60,810,66,811,0
811,1,908,1,908,594372,909,320000,909,0,905,1958400,906,1958400,907,960000,908,0,906,14,907,27,908,54,908,0
908,1,1010,1,1011,754746,1012,320000,1012,0,1005,1958400,1006,1958400,1008,960000,1010,0,1006,20,1007,40,1009,27,1011,0
1011,1,1109,1,1110,945622,1110,320000,1111,0,1105,1958400,1106,1267200,1107,960000,1109,0,1106,55,1107,44,1108,54,1110,0
1110,1,1209,1,1209,1036118,1210,320000,1211,0,1206,1958400,1207,1267200,1208,0,1209,0,1207,66,1208,63,1208,0,1209,0
1209,1,1309,1,1309,1793505,1310,320000,1311,0,1306,1958400,1307,1958400,1308,0,1309,0,1307,100,1308,55,1309,0,1309,0
1310,1,1409,1,1410,1157832,1411,320000,1412,0,1406,1958400,1407,1958400,1409,0,1410,0,1407,37,1408,63,1409,0,1410,0
1411,1,1510,1,1511,1585466,1512,320000,1513,0,1507,1958400,1508,1958400,1509,0,1510,0,1508,60,1509,77,1510,0,1511,0
1511,1,1610,1,1612,1493005,1613,320000,1614,0,1607,1958400,1608,1958400,1609,0,1611,0,1608,60,1609,69,1610,0,1612,0
1612,1,1710,1,1711,1088486,1711,320000,1712,0,1707,1958400,1709,1958400,1710,0,1710,0,1708,44,1709,50,1710,0,1711,0
