App,Package,Start Time,Duration,Filename,,,,,,,,,,,,,,,,,,,,,
System,,"Sep 7, 2016 @ 02:36:26 AM",1 min 7 sec,Parallel.db,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Time  [ms],Battery Status,Time  [ms],Screen Brightness,Time  [ms],Battery Power* [uW],Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU1 Load [%],Time  [ms],CPU2 Load [%],Time  [ms],CPU3 Load [%],Time  [ms],CPU4 Load [%]
11,1,10,1,11,967848,11,450000,12,0,0,1574400,2,1574400,3,0,10,0,1,57,3,79,6,0,11,0
31,1,115,1,116,911037,117,450000,118,0,112,1574400,113,1574400,114,0,116,0,113,70,114,58,115,0,116,0
117,1,215,1,216,619881,217,450000,217,0,212,1574400,214,1574400,215,0,216,0,213,54,214,33,215,0,216,0
216,1,315,1,316,463651,316,450000,317,0,312,1574400,314,1574400,315,0,316,0,313,28,315,37,315,0,316,0
316,1,416,1,416,520462,417,450000,417,0,413,1574400,414,1574400,415,0,416,0,414,33,415,40,416,0,416,0
417,1,517,1,518,497073,519,450000,520,0,513,1574400,515,960000,517,0,518,0,515,66,516,12,517,0,518,0
518,1,618,1,619,696564,620,450000,621,0,613,1574400,615,960000,617,0,618,0,615,70,616,90,617,0,619,0
619,1,719,1,720,223052,721,450000,722,0,714,1574400,716,960000,718,0,719,0,715,20,717,36,718,0,720,0
720,1,818,1,819,416158,820,450000,821,0,814,1574400,816,960000,818,0,819,0,816,37,817,69,818,0,819,0
820,1,920,1,931,145394,932,450000,933,62,915,652800,917,960000,919,0,931,0,917,44,919,50,920,0,931,0
931,1,1018,1,1018,1222538,1019,450000,1019,62,1015,1574400,1016,1574400,1017,0,1018,0,1016,63,1017,50,1017,0,1018,0
1018,1,1122,1,1124,555607,1125,450000,1125,62,1117,1497600,1119,960000,1121,0,1123,0,1119,11,1121,30,1122,0,1123,0
1124,1,1222,1,1222,884822,1223,450000,1224,62,1217,1574400,1219,960000,1221,0,1222,0,1219,50,1221,50,1221,0,1222,0
1223,1,1322,1,1323,791874,1323,450000,1324,62,1318,1574400,1320,960000,1321,0,1322,0,1319,40,1321,40,1322,0,1323,0
1323,1,1427,1,1430,584045,1434,450000,1435,62,1421,1574400,1424,960000,1426,0,1429,0,1423,20,1425,10,1427,0,1430,0
1431,1,1522,1,1523,1414275,1524,450000,1525,62,1519,1574400,1520,1574400,1521,0,1522,0,1520,80,1521,60,1522,0,1523,0
1523,1,1622,1,1623,888774,1623,450000,1624,62,1619,1574400,1621,1574400,1622,0,1623,0,1620,12,1621,54,1622,0,1623,0
1623,1,1724,1,1728,785403,1728,450000,1729,62,1719,960000,1721,1574400,1722,0,1725,0,1720,50,1721,36,1723,0,1725,0
1728,1,1823,1,1824,1052105,1824,450000,1824,62,1820,1574400,1821,1574400,1822,0,1823,0,1821,44,1822,45,1823,0,1823,0
1824,1,1923,1,1924,654429,1924,450000,1925,64,1920,1574400,1921,1574400,1923,0,1923,0,1921,22,1922,11,1923,0,1924,0
1924,1,2023,1,2024,980373,2024,450000,2025,64,2020,1574400,2022,1574400,2023,0,2024,0,2021,50,2023,27,2023,0,2024,0
2024,1,2125,1,2126,947341,2127,450000,2127,64,2121,1574400,2123,1036800,2125,0,2126,0,2122,60,2124,33,2125,0,2126,0
2126,1,2224,1,2224,1264427,2225,450000,2225,64,2221,1574400,2222,1574400,2223,0,2224,0,2222,80,2223,37,2224,0,2224,0
2225,1,2324,1,2325,831244,2325,450000,2326,64,2321,1574400,2323,1574400,2324,0,2325,0,2322,12,2324,44,2324,0,2325,0
