App,Package,Start Time,Duration,Filename,,,,,,,,,,,,,,,,,,,,,
System,,"Sep 7, 2016 @ 02:35:23 AM",1 min 2 sec,Sequential.db,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Time  [ms],Battery Status,Time  [ms],Screen Brightness,Time  [ms],Battery Power* [uW],Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU1 Load [%],Time  [ms],CPU2 Load [%],Time  [ms],CPU3 Load [%],Time  [ms],CPU4 Load [%]
0,1,26,1,27,694537,27,200000,28,0,23,1958400,24,1958400,25,300000,27,0,24,19,25,41,26,31,27,0
27,1,127,1,127,1920640,128,200000,128,0,123,1958400,124,1958400,126,1958400,127,0,124,33,125,33,127,100,127,0
127,1,227,1,227,1793505,227,200000,228,0,223,1958400,225,1958400,226,1958400,227,0,224,37,225,18,226,100,227,0
227,1,277,1,278,2140236,278,200000,278,0,274,1958400,275,1958400,276,1958400,277,0,275,25,276,60,277,100,278,0
278,1,378,1,378,1405063,378,200000,379,0,374,1958400,375,1267200,377,1958400,378,0,375,50,376,44,377,55,378,0
378,1,478,1,479,1792360,479,200000,480,0,474,1958400,476,1267200,477,1958400,478,0,475,40,477,40,478,100,479,0
479,1,577,1,578,540496,578,320000,579,0,575,1958400,576,1267200,577,0,578,0,576,22,577,66,577,0,578,0
578,1,678,1,678,1157832,679,320000,680,0,675,1958400,676,1958400,677,0,678,0,676,0,677,100,677,0,678,0
678,1,780,1,781,1252553,781,320000,782,0,775,1267200,777,1958400,779,0,780,0,777,22,778,100,779,0,780,0
781,1,879,1,880,1330052,880,320000,881,0,876,1267200,877,1958400,879,0,879,0,877,40,878,100,879,0,880,0
880,1,980,1,980,1252553,981,320000,981,0,976,1267200,978,1958400,979,0,980,0,977,22,979,100,979,0,980,0
980,1,1079,1,1079,1666370,1080,320000,1080,0,1076,1958400,1078,1958400,1078,0,1079,0,1077,44,1078,100,1079,0,1079,0
1079,1,1180,1,1181,1252553,1181,320000,1181,0,1176,1267200,1178,1958400,1179,0,1180,0,1178,22,1179,100,1180,0,1180,0
1181,1,1280,1,1281,1235331,1281,320000,1282,0,1277,1267200,1278,1958400,1280,0,1280,0,1278,18,1279,100,1280,0,1281,0
1281,1,1382,1,1383,1347274,1384,320000,1384,0,1377,1267200,1379,1958400,1380,0,1382,0,1378,44,1380,100,1380,0,1383,0
1383,1,1480,1,1480,1504563,1481,320000,1481,0,1477,1958400,1478,1958400,1480,0,1480,0,1478,30,1479,100,1480,0,1480,0
1481,1,1581,1,1582,1265470,1582,320000,1582,0,1578,1267200,1579,1958400,1580,0,1581,0,1579,25,1580,100,1581,0,1582,0
1582,1,1681,1,1681,1412101,1682,320000,1682,0,1678,1958400,1679,1958400,1681,0,1681,0,1679,22,1680,100,1681,0,1681,0
1681,1,1781,1,1781,1677928,1782,320000,1782,0,1778,1958400,1780,1958400,1781,0,1781,0,1779,45,1780,100,1781,0,1781,0
1781,1,1881,1,1882,1157832,1882,320000,1882,0,1879,1958400,1880,1958400,1881,0,1881,0,1880,0,1881,100,1881,0,1882,0
1882,1,1982,1,1984,1299914,1986,320000,1986,0,1979,1267200,1981,1958400,1982,0,1983,0,1980,33,1982,100,1982,0,1984,0
1984,1,2082,1,2082,1620140,2083,320000,2083,0,2079,1958400,2081,1958400,2081,0,2082,0,2080,40,2081,100,2082,0,2082,0
2082,1,2183,1,2184,1330052,2184,320000,2185,0,2180,1267200,2181,1958400,2183,0,2183,0,2181,40,2182,100,2183,0,2184,0
2184,1,2283,1,2284,1252553,2284,320000,2285,0,2280,1267200,2282,1958400,2283,0,2283,0,2281,22,2282,100,2283,0,2284,0
2284,1,2383,1,2384,1252553,2385,320000,2385,0,2380,1267200,2382,1958400,2383,0,2384,0,2381,22,2383,100,2383,0,2384,0
2384,1,2485,1,2486,1441996,2487,320000,2487,0,2481,1267200,2482,1958400,2484,0,2485,0,2482,66,2484,100,2485,0,2486,0
2486,1,2583,1,2584,1388986,2584,320000,2585,0,2581,1958400,2582,1958400,2583,0,2584,0,2582,100,2583,20,2583,0,2584,0
2584,1,2684,1,2684,1469890,2684,320000,2685,0,2681,1958400,2682,1958400,2683,0,2684,0,2682,27,2683,100,2683,0,2684,0
2684,1,2784,1,2784,2082447,2785,320000,2785,0,2781,1958400,2783,1958400,2783,0,2784,0,2782,80,2783,100,2784,0,2784,0
2785,1,2885,1,2886,2554371,2887,320000,2887,0,2882,1958400,2883,1958400,2884,960000,2885,1958400,2883,90,2884,100,2885,36,2886,24
