App,Package,Start Time,Duration,Filename,,,,,,,,,,,,,,,,,,,,,
System,,"Sep 7, 2016 @ 09:27:10 PM",1 min 7 sec,Trepn_2016.09.07_212710.db,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Time  [ms],Battery Status,Time  [ms],Screen Brightness,Time  [ms],Battery Power* [uW],Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU1 Load [%],Time  [ms],CPU2 Load [%],Time  [ms],CPU3 Load [%],Time  [ms],CPU4 Load [%]
8,1,5,1,8,789433,9,320000,10,0,0,2265600,1,1958400,2,0,6,0,1,19,2,42,5,0,8,0
33,1,105,1,106,2638017,106,320000,107,0,101,2265600,102,2265600,103,960000,105,960000,102,70,103,88,104,32,106,25
106,1,207,1,209,2435270,210,320000,211,0,201,2265600,203,2265600,206,960000,208,2265600,203,44,205,60,207,66,209,40
209,1,305,1,307,1415950,308,320000,308,0,302,2265600,303,2265600,304,960000,306,2265600,303,44,304,20,305,36,307,20
307,1,406,1,407,1109545,408,320000,408,0,402,2265600,404,1497600,405,960000,406,2265600,403,33,405,28,406,40,407,20
407,1,506,1,507,1184565,508,320000,508,0,502,2265600,504,1267200,505,960000,507,0,503,50,505,58,506,63,507,0
507,1,606,1,608,3184515,608,320000,608,0,603,2265600,604,1267200,605,2265600,606,2265600,604,63,605,60,606,66,607,55
608,1,706,1,707,1753396,708,320000,709,0,703,2265600,704,1267200,705,2265600,706,960000,704,50,705,50,706,45,707,12
707,1,806,1,808,1805054,808,320000,808,0,803,2265600,804,1267200,805,2265600,807,960000,804,44,805,28,806,54,808,57
808,1,909,1,911,1224695,912,320000,912,0,904,1267200,905,1267200,907,2265600,909,960000,905,55,906,22,908,50,911,44
911,1,1009,1,1011,1347849,1012,320000,1013,0,1004,1267200,1006,1267200,1008,2265600,1010,960000,1005,55,1007,45,1009,50,1011,55
1011,1,1109,1,1109,1288750,1110,320000,1110,0,1104,1267200,1106,2265600,1107,2265600,1109,0,1105,70,1107,40,1108,22,1109,0
1110,1,1209,1,1210,802008,1211,320000,1216,0,1204,1497600,1206,1574400,1207,1190400,1209,0,1205,44,1207,42,1208,60,1210,0
1210,1,1309,1,1309,2278905,1310,320000,1310,0,1305,2265600,1306,1574400,1307,1190400,1309,0,1306,100,1307,55,1308,80,1309,0
1309,1,1408,1,1410,3016660,1410,320000,1410,0,1405,2265600,1406,2265600,1407,1190400,1409,2265600,1406,50,1407,66,1408,80,1409,55
1410,1,1509,1,1510,2433533,1511,320000,1512,0,1505,2265600,1506,2265600,1508,2265600,1509,2265600,1506,37,1507,54,1508,44,1510,18
1510,1,1609,1,1611,1453593,1611,320000,1612,0,1606,1958400,1607,1574400,1608,1036800,1610,1190400,1607,66,1608,54,1609,45,1611,50
1611,1,1712,1,1714,1132894,1714,200000,1715,0,1706,1958400,1708,1267200,1710,960000,1712,1190400,1708,54,1709,44,1711,60,1714,50
1714,1,1814,1,1818,499068,1819,200000,1819,0,1806,1267200,1808,1267200,1811,960000,1814,960000,1808,40,1810,25,1813,58,1816,41
1818,1,1913,1,1915,763493,1916,200000,1917,0,1907,1267200,1909,1267200,1911,960000,1913,960000,1909,50,1911,54,1912,77,1915,66
