App,Package,Start Time,Duration,Filename
"System",,"Sep 7, 2016 @ 09:31:29 PM","1 min 10 sec","Parallel.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
7,1,5,1,7,1286281,7,450000,8,0,0,1574400,2,1574400,3,1574400,5,960000,2,54,3,68,5,40,7,61,
32,1,108,1,110,1526164,110,450000,111,0,101,1574400,103,1574400,105,1574400,108,960000,103,60,105,63,108,70,110,70,
110,1,209,1,210,1021750,211,450000,212,0,201,1574400,203,1574400,205,1574400,209,960000,203,50,205,14,208,66,210,44,
211,1,306,1,308,1113025,309,450000,310,0,301,1574400,303,1574400,305,1574400,307,960000,303,54,304,50,306,37,308,50,
308,1,409,1,411,1195029,411,450000,412,0,402,1574400,404,960000,406,1574400,409,960000,404,70,406,63,408,60,411,60,
411,1,508,1,510,798706,510,450000,511,0,502,1574400,504,960000,506,1267200,508,960000,504,54,506,42,507,44,509,60,
510,1,608,1,610,734936,611,450000,611,0,603,1574400,605,960000,606,1267200,608,960000,604,42,606,50,607,50,609,50,
610,1,710,1,712,1077682,712,450000,713,0,704,1574400,706,960000,708,1267200,710,1574400,706,50,707,63,709,33,711,62,
712,1,810,1,812,873577,813,450000,814,0,805,1574400,807,960000,809,960000,811,1574400,806,57,808,53,810,40,812,37,
813,1,911,1,913,963820,914,450000,915,65,906,1574400,908,960000,910,960000,912,1190400,907,63,909,72,911,44,913,70,
913,1,1009,1,1010,1914703,1011,450000,1011,65,1006,1574400,1007,1574400,1008,960000,1010,1574400,1007,60,1008,66,1009,70,1010,60,
1010,1,1112,1,1114,1293006,1115,450000,1115,65,1106,1574400,1108,1267200,1110,960000,1112,1267200,1108,30,1109,63,1111,60,1113,55,
1114,1,1211,1,1213,1264418,1213,450000,1213,65,1207,1574400,1208,960000,1210,960000,1211,1574400,1208,50,1209,37,1211,70,1212,33,
1213,1,1310,1,1312,1037066,1312,450000,1313,65,1307,1574400,1308,960000,1309,960000,1311,1574400,1308,22,1309,44,1310,50,1312,33,
1312,1,1411,1,1413,1176943,1414,450000,1415,65,1407,1036800,1408,960000,1410,960000,1411,1574400,1408,66,1409,44,1411,50,1413,50,
1413,1,1513,1,1515,1548515,1516,450000,1517,65,1507,1190400,1509,960000,1511,1574400,1513,1267200,1509,66,1510,75,1512,62,1515,60,
1515,1,1615,1,1618,1339177,1619,450000,1619,65,1608,1190400,1610,960000,1612,1574400,1616,960000,1609,66,1612,66,1614,55,1617,54,
1618,1,1714,1,1716,1101911,1716,450000,1717,65,1709,1574400,1710,960000,1712,1574400,1714,960000,1710,50,1712,20,1713,20,1716,55,
1716,1,1815,1,1817,1361861,1817,450000,1818,65,1809,1574400,1811,960000,1813,1574400,1815,960000,1811,44,1812,66,1815,45,1817,66,
