App,Package,Start Time,Duration,Filename
"System",,"Sep 7, 2016 @ 09:30:31 PM","56 sec","Sequential.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
5,1,4,1,5,1441154,6,200000,6,0,0,2265600,2,2265600,2,960000,4,2265600,1,19,2,42,3,33,5,25,
30,1,109,1,110,4244223,111,200000,111,0,104,2265600,106,2265600,107,960000,109,2265600,105,80,106,77,109,72,110,100,
110,1,209,1,210,3413454,211,200000,211,0,205,2265600,206,2265600,207,960000,209,2265600,206,61,207,54,209,70,210,90,
210,1,309,1,311,3293437,311,200000,312,0,306,2265600,307,2265600,308,960000,310,2265600,307,54,308,100,309,66,311,44,
311,1,410,1,411,3375628,412,200000,412,0,406,2265600,408,2265600,409,960000,410,2265600,407,44,408,60,409,60,411,100,
411,1,510,1,511,3264536,512,320000,512,0,506,2265600,508,1958400,509,960000,510,2265600,507,54,509,58,510,66,511,100,
511,1,611,1,613,2821814,613,320000,614,0,607,2265600,609,1497600,610,960000,612,2265600,608,42,609,66,611,66,613,100,
613,1,711,1,714,2499105,714,320000,715,0,707,1958400,709,1497600,710,960000,712,2265600,708,37,710,55,711,60,714,100,
714,1,811,1,812,2961320,813,320000,813,0,808,2265600,809,2265600,810,960000,811,2265600,809,50,810,30,811,45,812,100,
812,1,913,1,914,3057074,914,320000,915,0,909,1728000,911,1958400,912,960000,913,2265600,910,60,911,66,912,81,914,100,
914,1,1013,1,1015,4092072,1015,320000,1015,0,1010,2265600,1011,1958400,1012,2265600,1014,2265600,1011,63,1012,50,1013,58,1014,100,
1015,1,1114,1,1116,2332021,1116,320000,1117,0,1110,1267200,1112,1267200,1113,1497600,1115,2265600,1111,14,1113,55,1114,70,1116,100,
1116,1,1215,1,1216,2341831,1217,320000,1217,0,1211,1267200,1212,1267200,1213,1497600,1215,2265600,1212,36,1213,50,1215,60,1216,100,
1216,1,1315,1,1317,2920163,1318,320000,1318,0,1311,2265600,1313,1267200,1314,1190400,1316,2265600,1312,50,1314,62,1315,72,1317,100,
1317,1,1415,1,1416,2654282,1416,320000,1417,0,1411,2265600,1413,1267200,1414,1036800,1415,2265600,1412,37,1413,77,1415,54,1416,100,
1416,1,1515,1,1516,3746679,1516,320000,1517,0,1511,1958400,1513,1267200,1514,2265600,1515,2265600,1513,55,1513,54,1515,81,1516,100,
1516,1,1617,1,1619,2580689,1619,320000,1620,0,1612,1267200,1613,1267200,1615,2265600,1617,2265600,1613,54,1615,54,1616,33,1618,100,
1619,1,1717,1,1718,3066621,1719,320000,1719,0,1712,2265600,1714,1267200,1715,2265600,1717,2265600,1713,55,1715,40,1716,27,1718,100,
1718,1,1816,1,1818,3719837,1818,320000,1819,0,1812,2265600,1814,1267200,1815,2265600,1817,2265600,1814,55,1815,33,1816,70,1818,100,
1818,1,1917,1,1918,2768754,1919,320000,1919,0,1913,2265600,1914,1267200,1916,1728000,1917,2265600,1914,33,1915,50,1917,50,1918,100,
1918,1,2018,1,2020,2753615,2020,320000,2021,0,2014,2265600,2015,1267200,2017,960000,2018,2265600,2015,50,2016,63,2018,44,2020,100,
2020,1,2118,1,2120,2582342,2120,320000,2121,0,2114,1958400,2115,1267200,2117,960000,2118,2265600,2115,44,2116,81,2118,61,2120,100,
2120,1,2218,1,2220,2117509,2220,320000,2221,0,2214,1267200,2216,1267200,2217,960000,2219,2265600,2215,50,2217,33,2218,77,2220,100,
2220,1,2319,1,2321,2109709,2321,320000,2322,0,2315,1267200,2317,1267200,2318,960000,2320,2265600,2316,44,2317,54,2319,44,2321,100,
2321,1,2420,1,2421,3268443,2422,320000,2422,0,2415,2265600,2417,1267200,2418,960000,2420,2265600,2417,81,2418,60,2420,60,2421,100,
2422,1,2520,1,2522,2570010,2523,320000,2524,0,2516,2265600,2517,1267200,2519,960000,2521,2265600,2517,37,2518,50,2520,80,2522,100,
2523,1,2621,1,2624,2356968,2626,320000,2627,0,2616,2265600,2618,960000,2620,960000,2622,2265600,2618,33,2619,55,2621,55,2624,100,
2624,1,2720,1,2721,2616392,2722,320000,2722,0,2716,1728000,2718,960000,2719,960000,2720,2265600,2717,77,2719,80,2720,80,2721,100,
2721,1,2820,1,2821,4106658,2822,320000,2823,0,2817,2265600,2818,2265600,2819,960000,2820,2265600,2818,80,2819,70,2820,60,2821,100,
2821,1,2921,1,2922,2982231,2923,320000,2923,0,2918,1958400,2919,1958400,2920,960000,2921,2265600,2918,58,2919,54,2921,44,2922,100,
2922,1,3022,1,3024,2224649,3025,320000,3025,0,3018,1958400,3019,1497600,3020,960000,3023,2265600,3019,30,3020,30,3022,44,3024,100,
3024,1,3125,1,3127,1951400,3128,320000,3129,0,3119,1190400,3120,960000,3123,960000,3126,2265600,3120,58,3122,50,3124,16,3127,100,
3128,1,3224,1,3227,2008006,3228,320000,3229,0,3219,960000,3221,960000,3223,960000,3225,2265600,3221,63,3222,55,3224,72,3227,100,
3227,1,3325,1,3329,2615668,3329,320000,3330,0,3320,960000,3321,960000,3324,2265600,3327,2265600,3321,66,3323,75,3325,90,3329,55,
3329,1,3423,1,3424,3465517,3425,320000,3425,0,3420,2265600,3421,960000,3422,2265600,3423,2265600,3421,42,3422,72,3423,100,3424,66,
3424,1,3523,1,3524,3765566,3525,320000,3525,0,3520,2265600,3522,2265600,3522,2265600,3524,1958400,3521,25,3522,90,3523,100,3524,30,
3524,1,3624,1,3625,3188948,3626,320000,3626,0,3621,2265600,3622,2265600,3623,2265600,3624,1036800,3621,40,3623,50,3624,100,3625,63,
3625,1,3724,1,3725,3614343,3726,320000,3727,0,3721,2265600,3722,1728000,3723,2265600,3724,2265600,3722,37,3723,55,3724,100,3725,60,
3725,1,3827,1,3828,3321910,3829,320000,3830,0,3822,2265600,3823,960000,3825,2265600,3827,2265600,3823,36,3825,50,3826,100,3828,66,
3829,1,3928,1,3929,2775256,3930,320000,3930,0,3922,1497600,3924,960000,3926,2265600,3928,2265600,3924,66,3925,81,3927,100,3929,37,
3929,1,4025,1,4026,4102190,4027,320000,4028,0,4023,2265600,4024,2265600,4025,2265600,4026,2265600,4023,44,4024,60,4025,100,4026,54,
4027,1,4126,1,4127,2684687,4128,320000,4128,0,4123,1958400,4124,2265600,4125,2265600,4126,1190400,4124,22,4125,50,4126,100,4127,12,
4127,1,4227,1,4228,3245182,4229,320000,4229,0,4223,2265600,4224,2265600,4225,2265600,4227,960000,4224,54,4225,44,4226,100,4228,44,
4228,1,4327,1,4328,2816036,4328,320000,4328,0,4323,1958400,4325,1958400,4326,2265600,4327,960000,4324,44,4325,54,4326,100,4328,42,
4328,1,4429,1,4431,2116291,4431,320000,4432,0,4424,960000,4425,1267200,4427,2265600,4429,960000,4425,50,4426,71,4428,100,4430,50,
4431,1,4528,1,4531,2732737,4532,320000,4532,0,4524,960000,4526,1267200,4527,2265600,4529,2265600,4525,60,4527,50,4528,100,4531,50,
4531,1,4630,1,4631,2398643,4632,320000,4633,0,4625,960000,4626,960000,4628,2265600,4630,2265600,4626,63,4628,66,4629,100,4631,33,
4632,1,4734,1,4738,2572524,4738,320000,4739,0,4725,960000,4727,960000,4729,2265600,4736,1728000,4727,90,4728,50,4732,100,4738,77,
4738,1,4829,1,4830,2587968,4831,320000,4831,0,4825,2265600,4827,960000,4828,2265600,4829,1497600,4826,30,4827,55,4828,100,4830,63,
4830,1,4932,1,4933,2677539,4934,320000,4935,0,4926,2265600,4928,960000,4930,2265600,4932,960000,4927,54,4930,54,4931,100,4933,50,
4934,1,5032,1,5034,2442470,5035,320000,5035,0,5027,2265600,5029,960000,5031,2265600,5033,960000,5028,37,5030,70,5032,100,5034,50,
5034,1,5131,1,5132,3500032,5133,320000,5133,0,5127,2265600,5129,960000,5130,2265600,5132,2265600,5129,90,5130,66,5131,44,5132,77,
5133,1,5231,1,5232,3244024,5232,320000,5232,0,5227,2265600,5229,960000,5230,2265600,5231,2265600,5228,100,5229,0,5230,54,5232,50,
5232,1,5331,1,5333,2361314,5333,320000,5334,0,5328,2265600,5329,960000,5330,960000,5332,2265600,5329,100,5330,69,5331,14,5333,37,
5333,1,5432,1,5433,2640292,5433,320000,5433,0,5428,2265600,5430,960000,5431,960000,5432,2265600,5429,100,5430,62,5431,54,5433,50,
5433,1,5532,1,5533,2770593,5534,320000,5534,0,5529,1958400,5530,960000,5531,1958400,5532,1958400,5530,100,5531,45,5532,77,5533,54,
5533,1,5632,1,5634,2516154,5634,320000,5634,0,5629,1958400,5630,960000,5631,1958400,5633,1958400,5630,100,5631,66,5632,60,5633,45,
