App,Package,Start Time,Duration,Filename
"System",,"Sep 7, 2016 @ 02:54:28 AM","1 min 1 sec","Trepn_2016.09.07_025428.db"

Time  [ms],"Battery Status",Time  [ms],"Battery Power* [uW]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
6,1,5,1495378,8,180000,8,23,0,1555200,1,1555200,2,1555200,3,1555200,4,1824000,5,1824000,6,1824000,7,1824000,1,89,2,23,3,19,3,14,5,8,6,12,7,7,8,1,
21,1,132,2158634,136,180000,136,23,101,1555200,102,1555200,103,1555200,130,1555200,132,1344000,133,1344000,134,1632000,135,1632000,102,90,103,40,130,41,131,46,132,33,134,8,135,10,136,23,
134,1,206,2243754,209,180000,210,23,201,1555200,202,1555200,203,1555200,205,1555200,206,1344000,206,1344000,208,1344000,209,1344000,202,100,203,14,204,42,205,57,206,33,207,33,208,25,209,33,
207,1,309,1873472,313,180000,314,23,302,1555200,304,1555200,305,1555200,306,1555200,308,864000,309,864000,310,864000,312,864000,303,100,305,27,306,27,307,0,309,10,310,18,311,0,313,9,
310,1,412,1528343,418,180000,418,23,402,1555200,404,1555200,407,1555200,408,1555200,410,633600,412,633600,414,768000,416,768000,404,83,406,45,408,22,410,18,412,11,414,20,416,10,417,9,
414,1,512,1343918,518,180000,518,23,503,1555200,505,1555200,507,1555200,509,1555200,511,633600,512,633600,514,633600,516,633600,504,100,506,20,508,20,510,0,512,18,514,22,516,9,517,10,
514,1,612,1584511,618,180000,619,0,603,1555200,605,1555200,607,1555200,609,1555200,611,633600,613,633600,615,633600,617,633600,605,87,607,50,609,20,610,22,612,0,614,10,616,20,618,10,
614,1,712,1052434,718,180000,719,0,703,1555200,705,1555200,707,1555200,709,1555200,711,633600,713,633600,715,633600,717,768000,705,91,707,25,709,11,711,10,712,0,714,11,716,0,718,0,
714,1,813,1133529,819,180000,820,0,803,1555200,805,1555200,807,1555200,809,1555200,811,633600,813,633600,815,633600,817,633600,805,90,807,30,809,11,810,20,812,18,814,0,817,0,819,0,
815,1,912,1355147,918,180000,918,0,904,1555200,905,1555200,907,1555200,909,1555200,910,633600,912,633600,914,633600,915,633600,905,100,907,33,909,36,910,20,912,0,913,0,915,0,917,0,
