App,Package,Start Time,Duration,Filename
"System",,"Sep 7, 2016 @ 02:49:17 AM","45 sec","Parallel.db"

Time  [ms],"Battery Status",Time  [ms],"Battery Power* [uW]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
13,1,10,2059720,17,600000,17,0,0,1555200,2,1555200,4,1555200,6,1555200,8,633600,11,633600,13,633600,15,633600,1,48,3,36,5,26,8,21,10,34,12,12,15,0,16,0,
30,1,135,980080,141,600000,142,0,100,1555200,128,1555200,130,1555200,131,1555200,133,768000,135,633600,137,633600,139,633600,127,27,129,36,131,41,133,20,135,30,137,0,139,0,141,0,
137,1,210,1598930,216,600000,217,0,201,1555200,203,1555200,204,1555200,206,1555200,208,633600,210,633600,212,633600,214,633600,202,66,204,50,206,50,208,57,210,0,212,0,214,0,216,0,
212,1,309,1193428,315,600000,316,0,301,1555200,303,1555200,305,1555200,306,1555200,308,633600,309,633600,312,633600,313,633600,302,54,304,40,306,40,307,30,309,10,311,0,313,0,315,0,
311,1,413,1003813,418,600000,419,41,402,1555200,405,1555200,406,1555200,408,1555200,411,633600,413,633600,415,633600,417,633600,404,54,406,36,408,30,409,20,412,0,414,0,416,0,418,0,
415,1,511,4096735,516,600000,516,41,502,1555200,504,1555200,506,1555200,508,1555200,509,633600,511,633600,512,633600,514,633600,504,71,505,25,507,54,509,11,511,10,512,0,514,0,515,0,
512,1,610,4222604,615,600000,615,41,603,1555200,605,1555200,606,1555200,608,1555200,609,633600,611,633600,612,633600,614,633600,604,60,606,50,607,41,609,30,610,0,612,0,613,0,615,0,
612,1,710,4057691,715,600000,715,41,703,1555200,705,1555200,706,1555200,708,1555200,709,633600,711,633600,712,633600,714,633600,705,58,706,30,707,40,709,30,710,0,712,0,713,0,715,0,
712,1,814,4222604,819,600000,819,41,804,1555200,807,1555200,808,1555200,810,1555200,812,633600,814,633600,816,633600,817,633600,806,55,808,40,809,50,812,36,814,0,815,0,817,0,818,0,
815,1,915,3494447,921,600000,922,41,904,1555200,907,1555200,909,1555200,911,1555200,914,633600,916,633600,918,633600,919,633600,906,30,909,0,911,25,913,22,915,10,917,0,919,0,921,0,
917,1,1012,4100712,1016,600000,1017,41,1005,1555200,1006,1555200,1008,1555200,1009,1555200,1011,633600,1012,633600,1014,633600,1015,633600,1006,54,1007,50,1009,30,1010,30,1012,0,1013,0,1015,0,1016,0,
1013,1,1114,3602881,1119,600000,1119,41,1105,1478400,1107,1555200,1109,1555200,1110,1555200,1112,633600,1114,633600,1116,633600,1117,633600,1107,30,1108,25,1110,22,1112,20,1114,0,1115,0,1117,0,1119,0,
1116,1,1212,3985990,1217,600000,1217,41,1205,1555200,1207,1555200,1208,1555200,1210,1555200,1211,633600,1213,633600,1214,633600,1216,633600,1207,54,1208,30,1209,44,1211,20,1212,0,1214,0,1215,0,1217,0,
1214,1,1315,3844445,1320,600000,1321,41,1306,1478400,1308,1478400,1310,1478400,1311,1555200,1314,633600,1315,633600,1317,633600,1319,633600,1307,50,1309,40,1311,11,1313,33,1315,10,1317,0,1318,0,1320,0,
1317,1,1415,3727867,1421,600000,1422,67,1406,1555200,1408,1555200,1410,1555200,1412,1555200,1413,633600,1415,633600,1416,633600,1418,633600,1407,54,1409,16,1411,22,1413,20,1415,0,1416,0,1418,0,1420,0,
1416,1,1516,5590017,1521,600000,1522,67,1507,1478400,1509,1478400,1511,1478400,1512,1478400,1514,633600,1516,633600,1518,633600,1520,633600,1508,54,1510,41,1512,10,1514,18,1515,0,1517,0,1519,0,1521,0,
1518,1,1614,5901306,1620,600000,1620,67,1607,1555200,1608,1555200,1610,1555200,1612,1555200,1613,633600,1615,633600,1616,633600,1618,633600,1608,60,1610,50,1611,30,1613,14,1614,10,1616,0,1617,0,1619,0,
1557,1,1718,5661500,1724,600000,1725,67,1707,1555200,1709,1555200,1713,1555200,1715,1555200,1716,633600,1718,633600,1720,633600,1722,633600,1709,40,1712,33,1714,30,1716,20,1718,0,1720,0,1722,0,1724,0,
1616,1,1816,5632820,1822,600000,1822,67,1808,1555200,1810,1555200,1812,1555200,1813,1555200,1815,633600,1817,633600,1819,633600,1820,633600,1809,54,1811,20,1813,18,1815,27,1816,0,1818,0,1820,0,1822,0,
1720,1,1916,6048685,1922,600000,1923,67,1908,1555200,1910,1555200,1911,1555200,1913,1555200,1915,633600,1917,633600,1919,633600,1920,633600,1910,60,1911,40,1913,33,1914,44,1916,0,1918,0,1920,0,1922,0,
1818,1,2016,5776222,2020,600000,2021,67,2008,1555200,2010,1555200,2012,1555200,2013,1555200,2015,633600,2016,633600,2018,633600,2019,633600,2010,45,2011,44,2013,30,2015,20,2016,0,2017,0,2019,0,2020,0,
1918,1,2116,5510928,2122,600000,2123,67,2109,1555200,2110,1555200,2112,1555200,2114,1555200,2115,633600,2117,633600,2119,633600,2121,633600,2110,36,2112,36,2113,20,2115,10,2116,0,2119,0,2121,0,2122,0,
2017,1,2217,6055731,2222,600000,2222,67,2209,1555200,2211,1555200,2212,1555200,2214,1555200,2216,1440000,2217,1440000,2219,1440000,2220,1440000,2211,54,2212,36,2213,33,2215,11,2217,50,2218,18,2220,0,2221,20,
2119,1,2322,5786452,2328,600000,2328,67,2310,1555200,2312,1555200,2315,1555200,2318,1555200,2321,633600,2323,633600,2325,633600,2326,633600,2312,30,2315,22,2318,30,2320,25,2322,0,2324,0,2326,0,2328,0,
2218,1,2417,5747541,2422,600000,2423,65,2410,1555200,2412,1555200,2413,1555200,2414,1555200,2416,633600,2418,633600,2419,633600,2421,633600,2411,44,2413,44,2414,22,2416,25,2417,0,2419,0,2420,0,2422,0,
2324,1,2519,5468635,2524,600000,2525,65,2511,1555200,2512,1555200,2514,1555200,2516,1555200,2517,633600,2519,633600,2521,633600,2523,633600,2512,44,2514,30,2515,20,2517,22,2519,0,2521,0,2522,0,2524,0,
2419,1,2617,5762609,2621,600000,2621,65,2611,1555200,2612,1555200,2613,1555200,2615,1555200,2616,633600,2617,633600,2619,633600,2620,633600,2612,66,2613,44,2614,20,2616,27,2617,0,2618,0,2620,0,2621,0,
2521,1,2720,4964061,2724,600000,2724,65,2712,1478400,2714,1478400,2715,1478400,2717,1478400,2718,633600,2720,633600,2722,864000,2723,864000,2713,11,2715,22,2716,0,2718,10,2720,25,2721,0,2722,0,2724,0,
2618,1,2818,5590527,2823,600000,2823,65,2812,1555200,2813,1555200,2814,1555200,2816,1555200,2817,864000,2819,864000,2820,864000,2821,864000,2813,60,2814,40,2815,22,2817,11,2818,0,2820,0,2821,0,2822,0,
2721,1,2926,5259359,2932,600000,2932,65,2913,1248000,2915,1248000,2918,1248000,2920,1555200,2923,633600,2926,633600,2928,633600,2930,633600,2914,36,2917,40,2919,33,2923,11,2925,0,2928,0,2930,0,2931,0,
2820,1,3019,5741099,3024,600000,3024,65,3013,1555200,3014,1555200,3016,1555200,3017,1555200,3018,633600,3020,633600,3021,633600,3022,633600,3014,66,3015,40,3017,30,3018,18,3019,0,3021,0,3022,0,3023,0,
2928,1,3123,5041855,3129,600000,3130,65,3113,960000,3115,960000,3118,960000,3120,960000,3122,633600,3124,633600,3126,633600,3127,633600,3115,45,3117,33,3119,18,3121,22,3123,10,3125,0,3127,0,3129,0,
3021,1,3221,5698078,3228,600000,3228,65,3213,1555200,3215,1555200,3217,1555200,3218,1555200,3220,633600,3221,633600,3224,633600,3226,633600,3215,66,3216,50,3218,12,3219,20,3221,0,3223,0,3225,0,3228,0,
3125,1,3334,4850649,3343,600000,3344,65,3314,600000,3319,600000,3323,672000,3328,672000,3332,633600,3335,633600,3338,633600,3340,633600,3318,33,3323,14,3326,36,3331,36,3334,0,3337,0,3340,0,3343,0,
3223,1,3423,5582521,3429,600000,3430,63,3414,1344000,3416,1344000,3418,1344000,3420,1344000,3422,633600,3424,633600,3426,633600,3427,633600,3416,66,3417,33,3420,44,3422,25,3423,0,3425,0,3427,0,3429,0,
3337,1,3522,5698806,3528,600000,3529,63,3515,1555200,3516,1555200,3518,1555200,3519,1555200,3521,633600,3523,633600,3525,633600,3527,633600,3516,60,3517,33,3519,55,3520,20,3522,0,3524,0,3526,0,3528,0,
3425,1,3624,5232750,3629,600000,3630,63,3615,1555200,3617,1555200,3618,1555200,3620,1555200,3622,633600,3624,633600,3626,633600,3628,633600,3616,30,3618,33,3620,18,3622,22,3623,0,3625,0,3627,0,3629,0,
3525,1,3724,5677296,3729,600000,3729,63,3715,1555200,3717,1555200,3719,1555200,3721,1555200,3722,633600,3724,633600,3726,633600,3727,633600,3717,60,3719,22,3720,63,3722,20,3724,0,3725,0,3727,0,3729,0,
3625,1,3828,5331025,3833,600000,3834,63,3816,1478400,3819,1478400,3821,1478400,3823,1478400,3825,633600,3828,633600,3830,633600,3831,633600,3818,45,3821,27,3823,33,3825,22,3827,0,3829,0,3831,0,3832,0,
3726,1,3925,5433513,3932,600000,3932,63,3916,1555200,3919,1555200,3920,1555200,3922,1555200,3924,633600,3926,633600,3928,633600,3930,633600,3918,60,3920,40,3922,22,3924,9,3925,0,3928,0,3930,0,3931,0,
3829,1,4025,5601618,4030,600000,4030,63,4017,1555200,4018,1555200,4020,1555200,4022,1555200,4023,633600,4025,633600,4027,633600,4028,633600,4018,45,4020,44,4021,27,4023,36,4024,10,4026,0,4028,0,4029,0,
3928,1,4127,5039158,4132,600000,4132,63,4118,1555200,4120,1555200,4122,1555200,4123,1555200,4125,633600,4127,633600,4129,633600,4130,633600,4119,33,4121,20,4123,12,4125,11,4126,0,4128,0,4130,0,4132,0,
4026,1,4227,5562575,4232,600000,4233,63,4218,1555200,4220,1555200,4222,1555200,4224,1555200,4226,633600,4228,633600,4229,633600,4231,633600,4220,40,4222,28,4223,45,4225,36,4227,0,4229,0,4231,0,4232,0,
4129,1,4325,5146709,4330,600000,4330,63,4318,1555200,4320,1555200,4321,1555200,4323,1555200,4324,633600,4325,633600,4327,633600,4329,633600,4319,40,4321,25,4322,14,4324,12,4325,0,4327,0,4328,0,4330,0,
4229,1,4428,5341741,4433,600000,4434,67,4419,1555200,4422,1555200,4424,1555200,4425,1555200,4427,633600,4428,633600,4430,633600,4432,633600,4422,30,4423,45,4425,11,4426,30,4428,9,4429,0,4431,0,4433,0,
4327,1,4530,5202614,4537,600000,4537,67,4520,1555200,4521,1555200,4523,1555200,4526,1555200,4529,633600,4531,633600,4533,633600,4535,633600,4521,22,4523,18,4525,9,4528,10,4530,0,4532,0,4535,0,4536,0,
4429,1,4630,6372779,4636,600000,4637,67,4620,1555200,4622,1555200,4624,1555200,4626,1555200,4628,633600,4630,633600,4632,633600,4634,633600,4621,66,4623,50,4625,50,4628,54,4630,9,4632,0,4634,0,4636,0,
4532,1,4726,5453567,4731,600000,4732,67,4720,1555200,4721,1555200,4722,1555200,4724,1555200,4725,633600,4727,633600,4728,633600,4730,633600,4721,33,4722,36,4724,25,4725,0,4726,0,4728,0,4729,0,4731,0,
4632,1,4829,5776222,4835,600000,4835,67,4820,1555200,4822,1555200,4823,1555200,4825,1555200,4827,633600,4829,633600,4831,633600,4832,633600,4821,66,4823,33,4825,20,4827,20,4828,0,4830,0,4832,0,4834,0,
4728,1,4928,5506637,4933,600000,4934,67,4921,1555200,4923,1555200,4924,1555200,4925,1555200,4927,633600,4928,633600,4930,633600,4932,633600,4922,36,4924,50,4925,0,4927,11,4928,18,4930,0,4931,0,4933,0,
