App,Package,Start Time,Duration,Filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System,,"Sep 7, 2016 @ 02:49:00 AM",16 sec,Sequential.db,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time  [ms],Battery Status,Time  [ms],Battery Power* [uW],Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz],Time  [ms],CPU1 Load [%],Time  [ms],CPU2 Load [%],Time  [ms],CPU3 Load [%],Time  [ms],CPU4 Load [%],Time  [ms],CPU5 Load [%],Time  [ms],CPU6 Load [%],Time  [ms],CPU7 Load [%],Time  [ms],CPU8 Load [%]
6,1,5,2463537,9,180000,9,15,0,1248000,1,1248000,2,1248000,3,1248000,4,1824000,6,1824000,7,1824000,8,1824000,1,25,2,98,3,97,4,97,5,94,6,85,8,93,9,75
16,1,106,3299680,109,180000,109,15,101,1248000,102,1248000,103,1248000,104,1248000,105,1824000,106,1824000,107,1824000,108,1824000,101,40,103,12,104,10,105,18,106,40,107,100,108,10,109,11
107,1,205,1923786,207,180000,208,15,201,1555200,202,1555200,203,1555200,203,1555200,204,1958400,205,1958400,206,1958400,207,1958400,202,37,203,20,203,10,204,22,204,0,206,100,207,20,207,11
206,1,306,2360769,308,180000,309,15,302,1555200,303,1555200,304,1555200,304,1555200,305,1958400,306,1958400,307,1958400,308,1958400,303,50,303,12,304,12,305,11,306,20,307,100,307,0,308,10
307,1,407,2030444,409,180000,410,15,403,1555200,404,1555200,405,1555200,405,1555200,406,1958400,407,1958400,408,1958400,408,1958400,404,37,404,0,405,22,406,11,407,20,407,100,408,20,409,18
407,1,507,2525975,510,180000,510,15,504,1555200,505,1555200,506,1555200,506,1555200,507,1958400,507,1958400,508,1958400,509,1958400,505,55,505,33,506,12,507,11,507,11,508,100,509,10,510,0
508,1,609,1659068,611,180000,612,15,604,1555200,606,1555200,607,1555200,607,1555200,608,1958400,609,1958400,610,1958400,611,1958400,606,12,606,10,607,0,608,11,609,10,610,100,611,0,611,0
610,1,714,1879889,720,180000,721,15,705,1344000,707,1344000,708,1344000,710,1344000,712,1958400,714,1958400,716,1958400,718,1958400,706,60,708,22,710,20,712,0,714,9,716,100,717,0,720,0
716,1,813,1669176,818,180000,819,0,805,1555200,807,1555200,808,1555200,810,1555200,811,1958400,813,1958400,815,1958400,816,1958400,806,33,808,10,810,12,811,9,813,0,814,100,816,0,818,0
815,1,916,1269086,924,180000,925,0,906,1344000,908,1344000,910,1344000,912,1344000,914,1958400,917,1958400,919,1958400,922,1958400,907,10,909,0,912,27,914,0,916,0,919,100,921,0,924,0
919,1,1016,1835196,1022,180000,1022,0,1006,1555200,1008,1555200,1010,1555200,1012,1555200,1014,1958400,1016,1958400,1018,1958400,1020,1958400,1008,50,1009,18,1012,20,1014,20,1016,0,1017,100,1020,0,1022,0
1018,1,1115,1663114,1121,180000,1121,0,1106,1555200,1108,1555200,1110,1555200,1112,1555200,1113,1958400,1115,1958400,1117,1958400,1119,1958400,1108,30,1110,12,1111,30,1113,12,1115,0,1117,100,1118,0,1120,0
1117,1,1214,1914067,1219,180000,1219,0,1207,1555200,1208,1555200,1210,1555200,1211,1555200,1213,1958400,1214,1958400,1216,1958400,1217,1958400,1208,54,1210,27,1211,20,1213,18,1214,0,1216,100,1217,0,1219,0
1216,1,1311,1324502,1314,180000,1314,0,1307,960000,1308,960000,1309,960000,1310,960000,1310,1958400,1311,1958400,1312,1958400,1313,1958400,1308,30,1309,0,1310,18,1310,0,1311,10,1312,100,1312,0,1313,0
1312,1,1415,1746075,1420,180000,1420,0,1408,1478400,1409,1478400,1411,1478400,1412,1478400,1413,1958400,1415,1958400,1416,1958400,1418,1958400,1409,50,1410,18,1412,36,1413,0,1415,0,1416,100,1418,0,1419,0
1416,1,1525,1241132,1533,180000,1534,0,1509,384000,1514,960000,1519,960000,1521,960000,1523,1958400,1526,1958400,1528,1958400,1531,1958400,1513,11,1518,18,1521,25,1523,9,1525,0,1528,100,1530,0,1533,0
1528,1,1619,2150680,1623,180000,1623,0,1609,1555200,1611,1555200,1613,1555200,1615,1555200,1616,1958400,1619,1958400,1621,1958400,1622,1958400,1611,60,1612,14,1614,33,1616,45,1618,0,1620,100,1622,0,1623,0
1621,1,1717,1498201,1722,180000,1723,0,1710,1555200,1711,1555200,1713,1555200,1714,1555200,1716,1958400,1717,1958400,1720,1958400,1721,1958400,1711,33,1713,0,1714,10,1715,18,1717,0,1719,100,1721,0,1722,0
1720,1,1823,1640579,1831,180000,1831,0,1810,1344000,1813,1344000,1815,1344000,1817,1344000,1821,1958400,1824,1958400,1826,1958400,1828,1958400,1812,44,1815,36,1817,23,1820,0,1822,0,1825,100,1828,0,1830,0
1826,1,1918,1627263,1922,180000,1923,0,1910,1555200,1912,1555200,1913,1555200,1915,1555200,1916,1958400,1918,1958400,1919,1958400,1921,1958400,1912,50,1913,11,1915,0,1916,18,1917,0,1919,100,1921,0,1922,0
1919,1,2018,1921237,2023,180000,2024,0,2011,1555200,2012,1555200,2014,1555200,2016,1555200,2017,1958400,2019,1958400,2020,1958400,2022,1958400,2012,80,2014,20,2015,20,2017,0,2018,0,2020,100,2022,0,2023,0
2020,1,2120,2251061,2126,180000,2126,0,2111,1555200,2113,1555200,2116,1555200,2117,1555200,2119,1958400,2121,1958400,2122,1958400,2124,1958400,2113,100,2115,22,2117,22,2118,22,2120,0,2122,100,2124,0,2125,0
2122,1,2220,2362845,2226,180000,2226,0,2212,1555200,2214,1555200,2215,1555200,2217,1555200,2219,1958400,2221,1958400,2222,1958400,2224,1958400,2213,100,2215,30,2217,22,2218,0,2220,20,2222,100,2224,18,2225,20
2222,1,2327,2037547,2333,180000,2333,0,2313,1555200,2316,1555200,2318,1555200,2321,1555200,2325,1958400,2327,1958400,2329,1958400,2332,1958400,2315,30,2317,22,2320,18,2324,10,2326,0,2329,100,2331,0,2333,0
2329,1,2426,1684624,2431,180000,2432,0,2413,1555200,2416,1555200,2419,1555200,2422,1555200,2425,1958400,2426,1958400,2428,1958400,2429,1958400,2415,45,2419,20,2422,22,2424,0,2426,0,2427,100,2429,0,2431,0
2427,1,2520,1491031,2528,180000,2528,0,2513,1555200,2515,1555200,2516,1555200,2517,1555200,2519,1958400,2520,1958400,2522,1958400,2526,1958400,2514,40,2516,20,2517,0,2519,0,2520,0,2522,100,2525,0,2527,0
2522,1,2639,1236909,2649,180000,2651,0,2614,672000,2619,672000,2625,672000,2630,864000,2635,1958400,2639,1958400,2642,1958400,2645,1958400,2618,50,2624,11,2629,18,2633,9,2638,0,2641,100,2645,0,2649,0
2641,1,2727,2208041,2733,180000,2733,0,2714,1555200,2717,1555200,2720,1555200,2723,1555200,2725,1958400,2727,1958400,2730,1958400,2732,1958400,2716,66,2719,44,2722,25,2725,25,2727,0,2730,100,2731,0,2732,0
2730,1,2823,1620093,2829,180000,2829,0,2815,1555200,2817,1555200,2818,1555200,2820,1555200,2822,1958400,2823,1958400,2825,1958400,2827,1958400,2816,40,2818,20,2820,9,2821,9,2823,0,2825,100,2827,0,2829,0
2825,1,2919,1286995,2921,180000,2921,0,2915,768000,2916,768000,2917,768000,2917,768000,2918,1958400,2919,1958400,2919,1958400,2920,1958400,2916,55,2917,22,2917,20,2918,0,2919,0,2919,100,2920,0,2921,0
2919,1,3024,1770038,3029,180000,3029,0,3016,1344000,3017,1344000,3019,1344000,3021,1344000,3022,1958400,3024,1958400,3025,1958400,3027,1958400,3017,66,3019,22,3020,20,3022,18,3023,0,3025,100,3027,0,3028,0
3025,1,3141,1120755,3152,180000,3153,0,3117,384000,3125,384000,3130,384000,3135,460800,3138,1958400,3142,1958400,3145,1958400,3149,1958400,3122,18,3129,20,3134,18,3137,10,3141,0,3144,100,3148,0,3151,0
3144,1,3234,1714124,3244,180000,3245,0,3217,1248000,3221,1248000,3225,1248000,3228,1248000,3231,1958400,3234,1958400,3239,1958400,3241,1958400,3220,62,3224,30,3227,14,3231,25,3234,0,3237,100,3241,0,3244,0
3238,1,3328,1949917,3332,180000,3333,0,3317,1555200,3320,1555200,3323,1555200,3324,1555200,3326,1958400,3328,1958400,3330,1958400,3331,1958400,3320,63,3322,30,3324,20,3326,11,3327,0,3329,100,3331,0,3332,0
3329,1,3433,1268758,3437,180000,3437,0,3418,1555200,3421,1555200,3423,1555200,3427,1555200,3431,1958400,3433,1958400,3435,1958400,3436,1958400,3420,20,3423,0,3426,0,3430,9,3433,0,3435,100,3436,0,3437,0
3435,1,3521,2086149,3523,180000,3523,0,3518,1555200,3519,1555200,3520,1555200,3520,1555200,3521,1958400,3521,1958400,3522,1958400,3523,1958400,3519,55,3519,54,3520,22,3521,12,3521,0,3522,100,3522,0,3523,0
3522,1,3624,1271058,3626,180000,3626,0,3619,600000,3620,600000,3621,600000,3622,600000,3623,1958400,3624,1958400,3625,1958400,3625,1958400,3620,25,3621,0,3622,0,3623,0,3624,16,3624,100,3625,0,3626,0
3624,1,3726,1713752,3731,180000,3732,0,3719,1344000,3720,1344000,3721,1344000,3723,1344000,3725,1958400,3726,1958400,3728,1958400,3730,1958400,3720,50,3721,30,3723,27,3724,9,3726,0,3728,100,3730,0,3731,0
3728,1,3826,1935577,3830,180000,3831,0,3820,1555200,3821,1555200,3823,1555200,3824,1555200,3825,1958400,3827,1958400,3828,1958400,3829,1958400,3821,62,3822,30,3824,30,3825,0,3826,0,3827,100,3829,0,3830,0
3828,1,3940,1231552,3949,180000,3950,0,3921,960000,3925,960000,3928,960000,3932,960000,3936,1958400,3941,1958400,3944,1958400,3947,1958400,3924,18,3927,18,3931,0,3935,16,3939,0,3943,100,3946,0,3949,0
