App,Package,Start Time,Duration,Filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System,,"Sep 7, 2016 @ 03:01:58 AM",1 min 2 sec,Trepn_2016.09.07_030158.db,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time  [ms],Battery Status,Time  [ms],Battery Power* [uW],Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz],Time  [ms],CPU1 Load [%],Time  [ms],CPU2 Load [%],Time  [ms],CPU3 Load [%],Time  [ms],CPU4 Load [%],Time  [ms],CPU5 Load [%],Time  [ms],CPU6 Load [%],Time  [ms],CPU7 Load [%],Time  [ms],CPU8 Load [%]
9,1,8,2625114,12,180000,13,50,0,1555200,2,1555200,3,1555200,4,1555200,6,1248000,8,1248000,10,1248000,11,1248000,1,25,3,95,4,94,5,93,7,85,9,69,10,83,12,89
26,1,106,2813249,109,180000,109,0,101,1555200,102,1555200,103,1555200,104,1555200,105,1344000,106,1344000,107,1344000,108,1344000,102,80,103,12,104,14,105,10,105,50,106,11,108,11,109,30
106,1,207,1680844,210,180000,210,0,201,1555200,203,1555200,204,1555200,205,1555200,206,1248000,207,1248000,208,1248000,209,1248000,202,100,203,11,205,22,206,30,207,44,208,30,209,18,210,30
208,1,309,1508389,314,180000,314,0,302,1555200,304,1555200,306,1555200,307,1555200,308,960000,310,960000,311,960000,312,960000,303,90,305,40,307,0,308,22,309,9,311,0,312,9,313,18
311,1,411,1228691,417,180000,417,0,402,1555200,404,1555200,406,1555200,408,1555200,410,633600,412,633600,413,633600,415,633600,404,90,406,22,407,36,409,11,411,0,413,16,415,20,416,18
413,1,514,1245085,520,180000,520,0,503,1555200,507,1555200,508,1555200,510,1555200,512,633600,514,633600,516,633600,518,633600,506,100,508,25,510,22,512,11,514,10,516,0,517,0,519,22
516,1,612,1427346,618,180000,619,0,603,1555200,605,1555200,607,1555200,609,1555200,611,633600,613,633600,614,633600,616,633600,605,91,607,50,609,30,610,20,612,11,614,0,616,10,617,11
614,1,710,872701,713,180000,714,0,703,1555200,705,1555200,706,1555200,707,1555200,708,960000,710,960000,711,960000,712,960000,705,90,706,10,707,12,708,0,709,10,711,20,712,0,713,20
711,1,816,1077780,825,180000,826,0,804,1555200,806,1555200,808,1555200,810,1555200,814,633600,817,633600,821,633600,823,633600,805,90,808,20,809,12,814,10,816,0,820,8,823,8,825,0
820,1,913,1404710,918,180000,919,0,904,1555200,906,1555200,908,1555200,909,1555200,911,633600,913,633600,915,633600,916,633600,906,100,908,40,909,22,911,30,912,0,914,0,916,0,918,0
914,1,1014,1039663,1021,180000,1021,0,1005,1555200,1007,1555200,1009,1555200,1011,1555200,1013,633600,1015,633600,1017,633600,1019,633600,1007,83,1009,37,1010,25,1012,0,1014,0,1016,0,1019,0,1020,0
1016,1,1115,1312127,1122,180000,1123,0,1106,1555200,1108,1555200,1109,1555200,1112,1555200,1113,633600,1115,633600,1118,633600,1120,633600,1107,100,1109,33,1111,30,1113,20,1115,0,1117,0,1120,0,1122,0
1117,1,1221,1953970,1227,180000,1227,0,1207,1555200,1210,1555200,1212,1555200,1215,1555200,1219,1248000,1222,1248000,1225,1248000,1226,1248000,1208,100,1212,44,1214,50,1218,50,1221,41,1224,0,1226,0,1227,0
1224,1,1324,2258579,1327,180000,1328,0,1309,1555200,1311,1555200,1315,1555200,1319,1555200,1322,1248000,1324,1248000,1325,1248000,1326,1248000,1310,100,1314,77,1319,63,1321,75,1323,0,1325,0,1326,40,1327,0
1325,1,1417,1965292,1423,180000,1423,0,1408,1555200,1410,1555200,1412,1555200,1414,1555200,1416,1958400,1418,1958400,1420,1958400,1421,1958400,1409,92,1412,77,1413,28,1415,33,1417,11,1419,0,1421,55,1422,0
1419,1,1519,2153704,1526,180000,1526,0,1509,1555200,1511,1555200,1513,1555200,1515,1555200,1517,633600,1519,633600,1521,633600,1523,633600,1510,100,1512,40,1515,37,1517,42,1519,0,1520,0,1523,0,1525,0
1521,1,1617,1376658,1623,180000,1623,0,1609,1555200,1611,1555200,1613,1555200,1614,1555200,1616,633600,1618,633600,1620,633600,1621,633600,1610,100,1612,44,1614,12,1616,36,1617,0,1619,0,1621,0,1623,0
1619,1,1720,1448359,1727,180000,1727,0,1709,1555200,1711,1555200,1713,1555200,1715,1555200,1718,633600,1720,633600,1722,633600,1725,633600,1711,100,1712,40,1714,40,1718,22,1719,0,1721,0,1724,0,1726,0
1721,1,1818,1480232,1823,180000,1823,0,1810,1555200,1811,1555200,1813,1555200,1814,1555200,1816,633600,1818,633600,1820,633600,1821,633600,1811,90,1813,37,1814,37,1816,40,1818,10,1819,0,1821,0,1823,0
