App,Package,Start Time,Duration,Filename
"System",,"Sep 7, 2016 @ 02:58:31 AM","48 sec","Parallel.db"

Time  [ms],"Battery Status",Time  [ms],"Battery Power* [uW]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
17,1,16,1726266,21,600000,22,0,0,1555200,6,1555200,10,1555200,12,1555200,13,633600,16,633600,18,633600,19,633600,6,95,9,51,11,46,13,38,15,44,17,4,19,18,21,1,
40,1,109,2005429,114,600000,115,0,101,1555200,103,1555200,104,1555200,106,1555200,107,633600,109,633600,111,633600,113,633600,102,90,104,50,106,60,107,66,109,33,110,0,112,0,114,0,
111,1,211,1598930,216,600000,217,0,201,1555200,203,1555200,206,1555200,208,1555200,209,633600,211,633600,213,633600,215,633600,203,88,205,40,207,55,209,40,211,0,212,0,214,0,216,0,
212,1,312,1663461,319,600000,319,0,303,1555200,305,1555200,307,1555200,309,1555200,311,633600,312,633600,315,633600,317,633600,305,100,307,50,308,45,310,37,312,0,314,0,316,0,318,0,
314,1,410,1767035,417,600000,417,0,402,1555200,404,1555200,405,1555200,407,1555200,409,633600,411,633600,413,633600,415,633600,403,100,405,44,407,50,408,50,410,10,412,10,415,0,416,0,
413,1,511,2064202,516,600000,517,0,502,1555200,504,1555200,506,1555200,507,1555200,509,633600,511,633600,513,633600,514,633600,504,100,505,63,507,60,509,60,510,10,512,0,514,0,516,0,
512,1,610,1566273,616,600000,616,52,603,1555200,604,1555200,606,1555200,607,1555200,609,633600,611,633600,612,633600,614,633600,604,90,605,37,607,45,609,44,610,10,612,0,614,0,616,0,
612,1,711,5351475,717,600000,718,52,703,1555200,705,1555200,707,1555200,708,1555200,710,633600,712,633600,714,633600,716,633600,704,90,706,54,708,55,710,30,711,0,713,0,715,0,717,0,
713,1,812,5356421,818,600000,818,52,804,1555200,805,1555200,807,1555200,809,1555200,811,633600,812,633600,814,633600,816,633600,805,100,807,44,809,50,810,33,812,11,814,0,816,0,818,0,
814,1,914,5358645,920,600000,921,52,904,1555200,906,1555200,908,1555200,910,1555200,912,633600,914,633600,916,633600,918,633600,906,100,908,55,910,25,912,50,914,0,916,0,918,0,920,0,
916,1,1020,5420532,1025,600000,1026,52,1005,1555200,1008,1555200,1011,1555200,1015,1555200,1018,1958400,1021,1958400,1023,1958400,1024,1958400,1008,81,1010,50,1014,45,1018,36,1020,18,1022,0,1024,90,1025,0,
1022,1,1114,6492641,1119,600000,1120,52,1106,1555200,1107,1555200,1109,1555200,1111,1555200,1113,633600,1114,633600,1116,633600,1118,633600,1107,100,1109,55,1110,50,1112,50,1114,0,1116,0,1117,0,1119,0,
1116,1,1218,4942780,1226,600000,1227,52,1206,1555200,1208,1555200,1210,1555200,1212,1555200,1215,633600,1218,633600,1220,633600,1223,633600,1208,90,1210,20,1212,50,1214,12,1218,0,1220,0,1222,0,1226,0,
1220,1,1315,5286944,1322,600000,1322,52,1307,1555200,1309,1555200,1310,1555200,1312,1555200,1314,633600,1316,633600,1317,633600,1320,633600,1308,100,1310,25,1312,50,1314,45,1315,0,1317,0,1319,0,1321,0,
