App,Package,Start Time,Duration,Filename
"System",,"Sep 7, 2016 @ 02:58:12 AM","17 sec","Sequential.db"

Time  [ms],"Battery Status",Time  [ms],"Battery Power* [uW]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
5,1,4,3049044,8,180000,9,18,0,1555200,1,1555200,2,1555200,3,1555200,4,1824000,5,1824000,6,1824000,7,1824000,1,25,2,96,3,95,4,94,4,88,5,73,7,85,8,58,
19,1,104,4300966,107,180000,107,18,101,1555200,101,1555200,102,1555200,103,1555200,104,1824000,105,1824000,105,1824000,106,1824000,101,90,102,33,103,11,104,27,104,100,105,30,106,88,106,30,
105,1,204,3920512,206,180000,207,18,201,1555200,202,1555200,203,1555200,203,1555200,204,1958400,204,1958400,205,1958400,206,1958400,202,100,202,41,203,27,204,12,204,100,205,18,206,20,206,22,
205,1,305,3511460,307,180000,307,16,301,1555200,302,1555200,303,1555200,304,1555200,304,1958400,305,1958400,306,1958400,306,1958400,302,90,303,44,303,50,304,44,305,100,305,0,306,10,307,0,
306,1,405,2616954,407,180000,408,16,402,1555200,403,1555200,403,1555200,404,1555200,405,1958400,405,1958400,406,1958400,407,1958400,402,100,403,22,404,33,404,25,405,100,406,22,407,0,407,0,
406,1,506,2629532,508,180000,508,16,502,1555200,503,1555200,504,1555200,505,1555200,505,1958400,506,1958400,507,1958400,507,1958400,503,100,504,22,504,22,505,20,506,100,506,10,507,25,508,20,
506,1,606,2742991,608,180000,608,16,603,1555200,604,1555200,604,1555200,605,1555200,606,1958400,606,1958400,607,1958400,608,1958400,603,90,604,12,605,20,606,9,606,100,607,0,607,0,608,0,
607,1,706,2274258,708,180000,709,0,703,1555200,704,1555200,705,1555200,705,1555200,706,1958400,707,1958400,707,1958400,708,1958400,704,100,705,36,705,11,706,0,706,100,707,0,708,10,708,0,
707,1,807,2185062,811,180000,812,0,804,1555200,805,1555200,805,1555200,806,1555200,806,1958400,807,1958400,808,1958400,810,1958400,804,90,805,12,806,20,806,20,807,100,807,0,809,9,811,0,
808,1,912,2532958,917,180000,917,0,904,1555200,906,1555200,908,1555200,909,1555200,911,1958400,913,1958400,915,1958400,916,1958400,906,90,907,33,909,33,911,36,912,100,914,0,916,0,916,0,
914,1,1014,1914067,1018,180000,1018,0,1005,1555200,1007,1555200,1009,1555200,1011,1555200,1013,1958400,1015,1958400,1016,1958400,1017,1958400,1007,88,1009,11,1011,20,1012,0,1014,100,1016,0,1016,0,1017,0,
1016,1,1116,2731458,1122,180000,1123,0,1105,1555200,1108,1555200,1110,1555200,1112,1555200,1114,1958400,1116,1958400,1118,1958400,1120,1958400,1107,100,1109,55,1111,33,1113,45,1115,100,1118,0,1120,0,1122,0,
1118,1,1217,2229551,1224,180000,1224,0,1206,1555200,1209,1555200,1211,1555200,1213,1555200,1215,1958400,1217,1958400,1219,1958400,1221,1958400,1208,100,1210,30,1212,11,1214,22,1216,100,1219,0,1221,0,1223,0,
1219,1,1317,2200871,1324,180000,1325,0,1306,1555200,1309,1555200,1311,1555200,1313,1555200,1315,1958400,1318,1958400,1320,1958400,1322,1958400,1308,100,1310,27,1312,22,1315,10,1317,100,1319,0,1321,0,1323,0,
1319,1,1416,2609566,1422,180000,1423,0,1407,1555200,1409,1555200,1411,1555200,1413,1555200,1414,1958400,1416,1958400,1418,1958400,1420,1958400,1408,90,1410,50,1412,62,1414,14,1416,100,1418,0,1419,33,1421,0,
1418,1,1518,2672835,1525,180000,1525,0,1507,1555200,1509,1555200,1511,1555200,1514,1555200,1516,1958400,1518,1958400,1520,1958400,1523,1958400,1509,90,1511,27,1513,41,1515,18,1517,100,1520,0,1522,45,1524,0,
1520,1,1616,2663902,1622,180000,1623,0,1607,1555200,1609,1555200,1611,1555200,1613,1555200,1615,1958400,1617,1958400,1619,1958400,1620,1958400,1609,90,1611,12,1613,33,1614,22,1616,100,1618,0,1620,0,1622,0,
1618,1,1717,1992938,1723,180000,1723,0,1708,1555200,1710,1555200,1712,1555200,1714,1555200,1715,1958400,1717,1958400,1719,1958400,1721,1958400,1709,100,1712,30,1713,0,1715,0,1717,100,1718,0,1720,0,1722,0,
1719,1,1812,2243891,1813,180000,1814,0,1808,1555200,1809,1555200,1810,1555200,1810,1555200,1811,1958400,1812,1958400,1812,1958400,1813,1958400,1809,90,1810,33,1810,22,1811,20,1811,100,1812,10,1813,0,1813,0,
1812,1,1913,2407334,1915,180000,1915,0,1909,1555200,1910,1555200,1910,1555200,1911,1555200,1912,1958400,1913,1958400,1913,1958400,1914,1958400,1910,90,1910,36,1911,25,1912,22,1912,100,1913,10,1914,0,1914,0,
1913,1,2012,2271103,2014,180000,2014,0,2009,1555200,2010,1555200,2011,1555200,2011,1555200,2012,1958400,2012,1958400,2013,1958400,2013,1958400,2010,100,2010,12,2011,20,2012,22,2012,100,2013,0,2013,0,2014,0,
2013,1,2113,2093319,2115,180000,2115,0,2109,1555200,2110,1555200,2111,1555200,2111,1555200,2112,1958400,2113,1958400,2114,1958400,2114,1958400,2110,83,2111,30,2111,11,2112,20,2113,100,2114,0,2114,10,2115,0,
2114,1,2219,2880561,2224,180000,2224,0,2210,1555200,2212,1555200,2214,1555200,2215,1555200,2217,1958400,2219,1958400,2221,1958400,2222,1958400,2212,100,2213,44,2215,40,2217,55,2218,100,2220,0,2222,0,2223,0,
2220,1,2319,3018261,2325,180000,2325,0,2310,1555200,2313,1555200,2314,1555200,2316,1555200,2318,1958400,2320,1958400,2321,1958400,2323,1958400,2312,100,2314,90,2316,50,2317,33,2319,100,2321,0,2323,0,2325,0,
2321,1,2420,2839009,2426,180000,2426,0,2411,1555200,2413,1555200,2415,1555200,2417,1555200,2419,1958400,2421,1958400,2423,1958400,2425,1958400,2412,90,2414,66,2417,37,2419,55,2420,100,2423,0,2424,0,2426,0,
